genome (our names),genome (NCBI names)
acanthochromis_polyacanthus,acanthochromis_polyacanthus
ailuropoda_melanoleuca,ailuropoda_melanoleuca
amphilophus_citrinellus,amphilophus_citrinellus
amphiprion_ocellaris,amphiprion_ocellaris
amphiprion_percula,amphiprion_percula
anabas_testudineus,anabas_testudineus
anas_platyrhynchos_platyrhynchos,anas_platyrhynchos_platyrhynchos
anolis_carolinensis,anolis_carolinensis
anser_brachyrhynchus,anser_brachyrhynchus
aotus_nancymaae,aotus_nancymaae
apteryx_haastii,apteryx_haastii
apteryx_owenii,apteryx_owenii
apteryx_rowi,apteryx_rowi
astatotilapia_calliptera,astatotilapia_calliptera
astyanax_mexicanus,astyanax_mexicanus
betta_splendens,betta_splendens
bison_bison_bison,bison_bison_bison
bos_indicus_hybrid,bos_indicus
bos_mutus,bos_mutus
bos_taurus,bos_taurus
caenorhabditis_elegans,caenorhabditis_elegans
calidris_pugnax,calidris_pugnax
calidris_pygmaea,calidris_pygmaea
callithrix_jacchus,callithrix_jacchus
callorhinchus_milii,callorhinchus_milii
canis_familiaris,canis_lupus_familiaris
canis_lupus_dingo,canis_lupus_dingo
capra_hircus,capra_hircus
carlito_syrichta,carlito_syrichta
castor_canadensis,castor_canadensis
cavia_aperea,cavia_aperea
cavia_porcellus,cavia_porcellus
cebus_capucinus,cebus_capucinus
cercocebus_atys,cercocebus_atys
chelonoidis_abingdonii,chelonoidis_abingdonii
chinchilla_lanigera,chinchilla_lanigera
chlorocebus_sabaeus,chlorocebus_sabaeus
choloepus_hoffmanni,choloepus_hoffmanni
chrysemys_picta_bellii,chrysemys_picta_bellii
ciona_intestinalis,ciona_intestinalis
ciona_savignyi,ciona_savignyi
clupea_harengus,clupea_harengus
colobus_angolensis_palliatus,colobus_angolensis_palliatus
cottoperca_gobio,cottoperca_gobio
coturnix_japonica,coturnix_japonica
cricetulus_griseus_picr,cricetulus_griseus
crocodylus_porosus,crocodylus_porosus
cyanistes_caeruleus,cyanistes_caeruleus
cynoglossus_semilaevis,cynoglossus_semilaevis
cyprinodon_variegatus,cyprinodon_variegatus
danio_rerio,danio_rerio
dasypus_novemcinctus,dasypus_novemcinctus
denticeps_clupeoides,denticeps_clupeoides
dipodomys_ordii,dipodomys_ordii
dromaius_novaehollandiae,dromaius_novaehollandiae
drosophila_melanogaster,drosophila_melanogaster
echinops_telfairi,echinops_telfairi
electrophorus_electricus,electrophorus_electricus
eptatretus_burgeri,eptatretus_burgeri
equus_asinus_asinus,equus_asinus_asinus
equus_caballus,equus_caballus
erinaceus_europaeus,erinaceus_europaeus
erpetoichthys_calabaricus,erpetoichthys_calabaricus
esox_lucius,esox_lucius
felis_catus,felis_catus
ficedula_albicollis,ficedula_albicollis
fukomys_damarensis,fukomys_damarensis
fundulus_heteroclitus,fundulus_heteroclitus
gadus_morhua,gadus_morhua
gallus_gallus,gallus_gallus
gambusia_affinis,gambusia_affinis
gasterosteus_aculeatus,gasterosteus_aculeatus
gopherus_agassizii,gopherus_agassizii
gorilla_gorilla,gorilla_gorilla
gouania_willdenowi,gouania_willdenowi
haplochromis_burtoni,haplochromis_burtoni
heterocephalus_glaber_female,heterocephalus_glaber
hippocampus_comes,hippocampus_comes
homo_sapiens,homo_sapiens
hucho_hucho,hucho_hucho
ictalurus_punctatus,ictalurus_punctatus
ictidomys_tridecemlineatus,ictidomys_tridecemlineatus
jaculus_jaculus,jaculus_jaculus
junco_hyemalis,junco_hyemalis
kryptolebias_marmoratus,kryptolebias_marmoratus
labrus_bergylta,labrus_bergylta
larimichthys_crocea,larimichthys_crocea
lates_calcarifer,lates_calcarifer
latimeria_chalumnae,latimeria_chalumnae
lepidothrix_coronata,lepidothrix_coronata
lepisosteus_oculatus,lepisosteus_oculatus
lonchura_striata_domestica,lonchura_striata_domestica
loxodonta_africana,loxodonta_africana
macaca_fascicularis,macaca_fascicularis
macaca_mulatta,macaca_mulatta
macaca_nemestrina,macaca_nemestrina
manacus_vitellinus,manacus_vitellinus
mandrillus_leucophaeus,mandrillus_leucophaeus
marmota_marmota_marmota,marmota_marmota_marmota
mastacembelus_armatus,mastacembelus_armatus
maylandia_zebra,maylandia_zebra
meleagris_gallopavo,meleagris_gallopavo
melopsittacus_undulatus,melopsittacus_undulatus
meriones_unguiculatus,meriones_unguiculatus
mesocricetus_auratus,mesocricetus_auratus
microcebus_murinus,microcebus_murinus
microtus_ochrogaster,microtus_ochrogaster
mola_mola,mola_mola
monodelphis_domestica,monodelphis_domestica
monopterus_albus,monopterus_albus
mus_caroli,mus_caroli
mus_musculus,mus_musculus
mus_pahari,mus_pahari
mus_spicilegus,mus_spicilegus
mus_spretus,mus_spretus
mustela_putorius_furo,mustela_putorius_furo
myotis_lucifugus,myotis_lucifugus
nannospalax_galili,nannospalax_galili
neolamprologus_brichardi,neolamprologus_brichardi
neovison_vison,neovison_vison
nomascus_leucogenys,nomascus_leucogenys
notamacropus_eugenii,notamacropus_eugenii
notechis_scutatus,notechis_scutatus
nothoprocta_perdicaria,nothoprocta_perdicaria
numida_meleagris,numida_meleagris
ochotona_princeps,ochotona_princeps
octodon_degus,octodon_degus
oreochromis_niloticus,oreochromis_niloticus
ornithorhynchus_anatinus,ornithorhynchus_anatinus
oryctolagus_cuniculus,oryctolagus_cuniculus
oryzias_latipes,oryzias_latipes
oryzias_melastigma,oryzias_melastigma
otolemur_garnettii,otolemur_garnettii
ovis_aries,ovis_aries
pan_paniscus,pan_paniscus
pan_troglodytes,pan_troglodytes
