argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,640418913
0,0,0,1,46008571
0,0,0,3,27058941
0,0,0,9,17985056
0,0,0,27,12007885
0,0,0,81,7383709
0,0,1,0,20785001
0,0,1,1,4283744
0,0,1,3,3183369
0,0,1,9,2341256
0,0,1,27,1653193
0,0,1,81,1100146
0,0,3,0,9097501
0,0,3,1,2211164
0,0,3,3,1690778
0,0,3,9,1251886
0,0,3,27,878028
0,0,3,81,561750
0,0,9,0,3789625
0,0,9,1,1027949
0,0,9,3,788452
0,0,9,9,573285
0,0,9,27,388936
0,0,9,81,232691
0,0,27,0,1379107
0,0,27,1,400318
0,0,27,3,302920
0,0,27,9,215077
0,0,27,27,141645
0,0,27,81,78823
0,0,81,0,475296
0,0,81,1,141096
0,0,81,3,105928
0,0,81,9,75387
0,0,81,27,51755
0,0,81,81,29016
0,1,0,0,12820272
0,1,0,1,2174125
0,1,0,3,1493952
0,1,0,9,1023843
0,1,0,27,656798
0,1,0,81,369929
0,1,1,0,9178728
0,1,1,1,1810612
0,1,1,3,1258377
0,1,1,9,860061
0,1,1,27,545587
0,1,1,81,312333
0,1,3,0,7984036
0,1,3,1,1610966
0,1,3,3,1117718
0,1,3,9,762181
0,1,3,27,480019
0,1,3,81,274372
0,1,9,0,6667659
0,1,9,1,1350598
0,1,9,3,927552
0,1,9,9,623167
0,1,9,27,384200
0,1,9,81,216813
0,1,27,0,5162308
0,1,27,1,1045028
0,1,27,3,704994
0,1,27,9,463411
0,1,27,27,275080
0,1,27,81,151697
0,1,81,0,3532865
0,1,81,1,719404
0,1,81,3,482697
0,1,81,9,311394
0,1,81,27,179794
0,1,81,81,97916
0,2,0,0,1079609
0,2,0,1,197558
0,2,0,3,140553
0,2,0,9,103032
0,2,0,27,70027
0,2,0,81,40980
0,2,1,0,822000
0,2,1,1,170550
0,2,1,3,120792
0,2,1,9,87972
0,2,1,27,59805
0,2,1,81,35131
0,2,3,0,751967
0,2,3,1,157787
0,2,3,3,111006
0,2,3,9,79599
0,2,3,27,52728
0,2,3,81,30396
0,2,9,0,668317
0,2,9,1,139782
0,2,9,3,97594
