argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,644725744
0,0,0,1,47177002
0,0,0,3,28120205
0,0,0,9,18942717
0,0,0,27,12901152
0,0,0,81,8165171
0,0,1,0,22476779
0,0,1,1,4750455
0,0,1,3,3578323
0,0,1,9,2674092
0,0,1,27,1940390
0,0,1,81,1318163
0,0,3,0,10163794
0,0,3,1,2477027
0,0,3,3,1903674
0,0,3,9,1427208
0,0,3,27,1012622
0,0,3,81,650123
0,0,9,0,4467678
0,0,9,1,1192875
0,0,9,3,916337
0,0,9,9,678198
0,0,9,27,467748
0,0,9,81,286756
0,0,27,0,1797599
0,0,27,1,504506
0,0,27,3,383350
0,0,27,9,280949
0,0,27,27,191011
0,0,27,81,114648
0,0,81,0,695331
0,0,81,1,191587
0,0,81,3,142567
0,0,81,9,103728
0,0,81,27,69460
0,0,81,81,39672
0,1,0,0,79376
0,1,0,1,1711
0,1,0,3,724
0,1,0,9,723
0,1,0,27,0
0,1,0,81,0
0,1,1,0,5210
0,1,1,1,1583
0,1,1,3,673
0,1,1,9,672
0,1,1,27,0
0,1,1,81,0
0,1,3,0,3810
0,1,3,1,1277
0,1,3,3,480
0,1,3,9,480
0,1,3,27,0
0,1,3,81,0
0,1,9,0,1560
0,1,9,1,640
0,1,9,3,0
0,1,9,9,0
0,1,9,27,0
0,1,9,81,0
0,1,27,0,629
0,1,27,1,374
0,1,27,3,0
0,1,27,9,0
0,1,27,27,0
0,1,27,81,0
0,1,81,0,0
0,1,81,1,0
0,1,81,3,0
0,1,81,9,0
0,1,81,27,0
0,1,81,81,0
0,2,0,0,66475650
0,2,0,1,4373553
0,2,0,3,2867460
0,2,0,9,2140081
0,2,0,27,1554820
0,2,0,81,1076495
0,2,1,0,3285143
0,2,1,1,900698
0,2,1,3,698496
0,2,1,9,549833
0,2,1,27,414509
0,2,1,81,286205
0,2,3,0,1682720
0,2,3,1,538208
0,2,3,3,419423
0,2,3,9,326990
0,2,3,27,233276
0,2,3,81,155933
0,2,9,0,1003328
0,2,9,1,331579
0,2,9,3,257743
0,2,9,9,199274
0,2,9,27,137371
0,2,9,81,91181
0,2,27,0,625919
0,2,27,1,208407
0,2,27,3,160243
0,2,27,9,122279
0,2,27,27,82292
0,2,27,81,57084
0,2,81,0,342669
0,2,81,1,110237
0,2,81,3,83411
0,2,81,9,61539
0,2,81,27,41426
0,2,81,81,30461
0,3,0,0,105642772
0,3,0,1,9281008
0,3,0,3,6685097
0,3,0,9,5393093
0,3,0,27,4115904
0,3,0,81,2891851
0,3,1,0,3917031
0,3,1,1,1854502
0,3,1,3,1595685
0,3,1,9,1356028
0,3,1,27,1082765
0,3,1,81,766941
0,3,3,0,2009782
0,3,3,1,1047690
0,3,3,3,908196
0,3,3,9,767485
0,3,3,27,602075
0,3,3,81,414771
0,3,9,0,1024355
