argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,800460084
0,0,0,1,53954253
0,0,0,3,31668898
0,0,0,9,21177077
0,0,0,27,14065723
0,0,0,81,8719401
0,0,1,0,23296875
0,0,1,1,4542463
0,0,1,3,3290647
0,0,1,9,2333372
0,0,1,27,1569063
0,0,1,81,970717
0,0,3,0,9583979
0,0,3,1,2201006
0,0,3,3,1639300
0,0,3,9,1165582
0,0,3,27,764581
0,0,3,81,434704
0,0,9,0,3785970
0,0,9,1,983235
0,0,9,3,739153
0,0,9,9,520570
0,0,9,27,332437
0,0,9,81,174743
0,0,27,0,1296006
0,0,27,1,378365
0,0,27,3,285038
0,0,27,9,201527
0,0,27,27,126958
0,0,27,81,65190
0,0,81,0,398990
0,0,81,1,120273
0,0,81,3,90488
0,0,81,9,65605
0,0,81,27,41016
0,0,81,81,21396
0,1,0,0,6842209
0,1,0,1,1004160
0,1,0,3,680503
0,1,0,9,457277
0,1,0,27,286186
0,1,0,81,154555
0,1,1,0,3146975
0,1,1,1,659967
0,1,1,3,464594
0,1,1,9,313219
0,1,1,27,191584
0,1,1,81,104710
0,1,3,0,2235566
0,1,3,1,515334
0,1,3,3,369108
0,1,3,9,252865
0,1,3,27,155045
0,1,3,81,85479
0,1,9,0,1483524
0,1,9,1,358121
0,1,9,3,258015
0,1,9,9,178081
0,1,9,27,110616
0,1,9,81,63021
0,1,27,0,898607
0,1,27,1,219867
0,1,27,3,156876
0,1,27,9,108064
0,1,27,27,67034
0,1,27,81,39587
0,1,81,0,471146
0,1,81,1,117518
0,1,81,3,83132
0,1,81,9,57625
0,1,81,27,35168
0,1,81,81,20649
0,2,0,0,1812323
0,2,0,1,403692
0,2,0,3,295638
0,2,0,9,229410
0,2,0,27,162031
0,2,0,81,106740
0,2,1,0,951015
0,2,1,1,295344
0,2,1,3,220466
0,2,1,9,171907
0,2,1,27,122212
0,2,1,81,82968
0,2,3,0,802589
0,2,3,1,259191
0,2,3,3,195201
0,2,3,9,153054
0,2,3,27,107448
0,2,3,81,74563
0,2,9,0,656455
0,2,9,1,215519
0,2,9,3,165596
0,2,9,9,130764
0,2,9,27,90589
0,2,9,81,63714
0,2,27,0,498196
0,2,27,1,167375
0,2,27,3,129480
0,2,27,9,101614
0,2,27,27,70640
0,2,27,81,50529
0,2,81,0,304085
0,2,81,1,97882
0,2,81,3,75027
0,2,81,9,56948
0,2,81,27,40163
0,2,81,81,29474
0,3,0,0,7808926
0,3,0,1,5471169
0,3,0,3,5028447
0,3,0,9,4612850
0,3,0,27,4057936
0,3,0,81,3152821
0,3,1,0,2289298
0,3,1,1,2009464
0,3,1,3,1897470
0,3,1,9,1762127
0,3,1,27,1554805
0,3,1,81,1212914
0,3,3,0,1237972
0,3,3,1,1088671
0,3,3,3,1028164
0,3,3,9,950662
0,3,3,27,820899
0,3,3,81,626081
0,3,9,0,570972
0,3,9,1,492334
0,3,9,3,461953
0,3,9,9,419424
0,3,9,27,355972
0,3,9,81,267862
0,3,27,0,218053
0,3,27,1,179042
0,3,27,3,165263
0,3,27,9,145525
0,3,27,27,124313
0,3,27,81,96191
0,3,81,0,70784
0,3,81,1,53196
0,3,81,3,48256
0,3,81,9,40052
0,3,81,27,33514
0,3,81,81,26179
1,0,0,0,1967706
1,0,0,1,467497
1,0,0,3,311938
1,0,0,9,204359
1,0,0,27,123736
1,0,0,81,71940
1,0,1,0,1200578
1,0,1,1,331087
1,0,1,3,232715
1,0,1,9,155110
1,0,1,27,91618
1,0,1,81,55209
1,0,3,0,920930
1,0,3,1,259288
1,0,3,3,185211
1,0,3,9,123384
1,0,3,27,72020
1,0,3,81,42724
1,0,9,0,629184
1,0,9,1,176254
1,0,9,3,127682
1,0,9,9,84987
1,0,9,27,48585
1,0,9,81,27151
1,0,27,0,367374
1,0,27,1,103123
1,0,27,3,76122
1,0,27,9,49199
1,0,27,27,29847
1,0,27,81,16277
1,0,81,0,182880
1,0,81,1,53122
1,0,81,3,39086
1,0,81,9,25729
1,0,81,27,16228
1,0,81,81,9982
1,1,0,0,8957699
1,1,0,1,1535162
1,1,0,3,960217
1,1,0,9,582379
1,1,0,27,316356
1,1,0,81,150188
1,1,1,0,8279033
1,1,1,1,1479721
1,1,1,3,930825
1,1,1,9,563771
1,1,1,27,304389
1,1,1,81,144920
1,1,3,0,7759069
1,1,3,1,1421129
1,1,3,3,898041
1,1,3,9,544691
1,1,3,27,293233
1,1,3,81,139544
1,1,9,0,6928400
1,1,9,1,1311865
1,1,9,3,834870
1,1,9,9,508001
1,1,9,27,273782
1,1,9,81,130244
1,1,27,0,5700288
1,1,27,1,1122636
1,1,27,3,718474
1,1,27,9,436748
1,1,27,27,233740
1,1,27,81,112661
1,1,81,0,4098909
1,1,81,1,842215
1,1,81,3,547342
1,1,81,9,332861
1,1,81,27,179950
1,1,81,81,88073
1,2,0,0,506743
1,2,0,1,85162
1,2,0,3,56209
1,2,0,9,36574
1,2,0,27,22390
1,2,0,81,12991
1,2,1,0,476633
1,2,1,1,82264
1,2,1,3,54284
1,2,1,9,34869
1,2,1,27,21225
1,2,1,81,12365
1,2,3,0,453719
1,2,3,1,79730
1,2,3,3,52692
1,2,3,9,33803
1,2,3,27,20393
1,2,3,81,11885
1,2,9,0,422656
1,2,9,1,75877
1,2,9,3,49942
1,2,9,9,31705
1,2,9,27,18912
1,2,9,81,10859
1,2,27,0,376040
1,2,27,1,68935
1,2,27,3,44802
1,2,27,9,27997
1,2,27,27,16503
1,2,27,81,9546
1,2,81,0,304377
1,2,81,1,55731
1,2,81,3,34974
1,2,81,9,21360
1,2,81,27,12252
1,2,81,81,7271
1,3,0,0,715143
1,3,0,1,477853
1,3,0,3,410094
1,3,0,9,349975
1,3,0,27,282038
1,3,0,81,191295
1,3,1,0,622893
1,3,1,1,430565
1,3,1,3,373335
1,3,1,9,320666
1,3,1,27,258677
1,3,1,81,176402
1,3,3,0,539373
1,3,3,1,378151
1,3,3,3,329264
1,3,3,9,282679
1,3,3,27,226410
1,3,3,81,155283
1,3,9,0,411808
1,3,9,1,289559
1,3,9,3,254451
1,3,9,9,216992
1,3,9,27,169374
1,3,9,81,116198
1,3,27,0,283322
1,3,27,1,197622
1,3,27,3,172377
1,3,27,9,143669
1,3,27,27,108640
1,3,27,81,75381
1,3,81,0,169188
1,3,81,1,113546
1,3,81,3,96909
1,3,81,9,75637
1,3,81,27,53718
1,3,81,81,35596
2,0,0,0,1652657
2,0,0,1,288203
2,0,0,3,207722
2,0,0,9,150099
2,0,0,27,97283
2,0,0,81,38648
2,0,1,0,736531
2,0,1,1,198117
2,0,1,3,147664
2,0,1,9,107844
2,0,1,27,72595
2,0,1,81,26834
2,0,3,0,595934
2,0,3,1,169096
2,0,3,3,126385
2,0,3,9,92158
2,0,3,27,62738
2,0,3,81,23013
2,0,9,0,451835
2,0,9,1,135124
2,0,9,3,100581
2,0,9,9,72359
2,0,9,27,50383
2,0,9,81,18416
2,0,27,0,302898
2,0,27,1,90415
2,0,27,3,65040
2,0,27,9,45952
2,0,27,27,33516
2,0,27,81,12888
2,0,81,0,179817
2,0,81,1,48731
2,0,81,3,33457
2,0,81,9,23108
2,0,81,27,16801
2,0,81,81,7274
2,1,0,0,629940
2,1,0,1,100457
2,1,0,3,61275
2,1,0,9,38284
2,1,0,27,21449
2,1,0,81,10558
2,1,1,0,558199
2,1,1,1,94241
2,1,1,3,57220
2,1,1,9,35134
2,1,1,27,19656
2,1,1,81,9796
2,1,3,0,525799
2,1,3,1,89629
2,1,3,3,54175
2,1,3,9,32809
2,1,3,27,18382
2,1,3,81,9275
2,1,9,0,480555
2,1,9,1,82500
2,1,9,3,50012
2,1,9,9,29497
2,1,9,27,16343
2,1,9,81,8315
2,1,27,0,418799
2,1,27,1,73019
2,1,27,3,43831
2,1,27,9,25242
2,1,27,27,14093
2,1,27,81,6907
2,1,81,0,333687
2,1,81,1,60075
2,1,81,3,35612
2,1,81,9,19849
2,1,81,27,10771
2,1,81,81,5264
2,2,0,0,35768422
2,2,0,1,5802128
2,2,0,3,3587677
2,2,0,9,2201956
2,2,0,27,1245968
2,2,0,81,617674
2,2,1,0,31854492
2,2,1,1,5560674
2,2,1,3,3439239
2,2,1,9,2091025
2,2,1,27,1180007
2,2,1,81,591293
2,2,3,0,30492337
2,2,3,1,5420467
2,2,3,3,3350148
2,2,3,9,2030317
