argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,541441450
0,0,0,1,63370363
0,0,0,3,37398388
0,0,0,9,24381835
0,0,0,27,15446814
0,0,0,81,9474535
0,0,1,0,31063338
0,0,1,1,7713011
0,0,1,3,5735720
0,0,1,9,4270342
0,0,1,27,2999259
0,0,1,81,2000162
0,0,3,0,16052643
0,0,3,1,4748121
0,0,3,3,3716168
0,0,3,9,2886838
0,0,3,27,2098181
0,0,3,81,1442751
0,0,9,0,7347135
0,0,9,1,2595806
0,0,9,3,2108783
0,0,9,9,1688321
0,0,9,27,1278944
0,0,9,81,899617
0,0,27,0,3175485
0,0,27,1,1256285
0,0,27,3,1034364
0,0,27,9,836191
0,0,27,27,664345
0,0,27,81,476564
0,0,81,0,1332756
0,0,81,1,533679
0,0,81,3,435713
0,0,81,9,350374
0,0,81,27,282198
0,0,81,81,201575
0,1,0,0,11788722
0,1,0,1,2261679
0,1,0,3,1507326
0,1,0,9,1037302
0,1,0,27,664691
0,1,0,81,397693
0,1,1,0,8998768
0,1,1,1,1938383
0,1,1,3,1303830
0,1,1,9,895067
0,1,1,27,573313
0,1,1,81,347117
0,1,3,0,8230670
0,1,3,1,1799782
0,1,3,3,1208404
0,1,3,9,826924
0,1,3,27,527530
0,1,3,81,317393
0,1,9,0,7195832
0,1,9,1,1590396
0,1,9,3,1062595
0,1,9,9,724371
0,1,9,27,457317
0,1,9,81,275247
0,1,27,0,5912129
0,1,27,1,1320969
0,1,27,3,875708
0,1,27,9,593073
0,1,27,27,369466
0,1,27,81,220521
0,1,81,0,4380982
0,1,81,1,1000530
0,1,81,3,657495
0,1,81,9,442008
0,1,81,27,273849
0,1,81,81,164125
0,2,0,0,1587113
0,2,0,1,309821
0,2,0,3,209463
0,2,0,9,150099
0,2,0,27,101065
0,2,0,81,58935
0,2,1,0,999215
0,2,1,1,258565
0,2,1,3,179361
0,2,1,9,126251
0,2,1,27,84911
0,2,1,81,49018
0,2,3,0,910077
0,2,3,1,240171
0,2,3,3,166549
0,2,3,9,116914
0,2,3,27,77991
0,2,3,81,45006
0,2,9,0,806460
0,2,9,1,214422
0,2,9,3,149043
0,2,9,9,104656
0,2,9,27,69125
0,2,9,81,39651
0,2,27,0,685668
0,2,27,1,184470
0,2,27,3,128728
0,2,27,9,90247
0,2,27,27,59018
0,2,27,81,33961
0,2,81,0,549892
0,2,81,1,148422
0,2,81,3,103705
0,2,81,9,74272
0,2,81,27,47524
0,2,81,81,28101
0,3,0,0,10050818
0,3,0,1,7653152
0,3,0,3,7279504
0,3,0,9,6878570
0,3,0,27,6326653
0,3,0,81,5464969
0,3,1,0,4664872
0,3,1,1,4364984
0,3,1,3,4287681
0,3,1,9,4165861
0,3,1,27,3985931
0,3,1,81,3605094
0,3,3,0,3246584
0,3,3,1,3042229
0,3,3,3,2993971
0,3,3,9,2913634
0,3,3,27,2804077
0,3,3,81,2563619
0,3,9,0,1800264
0,3,9,1,1665268
0,3,9,3,1635245
0,3,9,9,1582798
0,3,9,27,1519882
0,3,9,81,1395361
0,3,27,0,762357
0,3,27,1,671043
0,3,27,3,651100
0,3,27,9,620404
0,3,27,27,585332
0,3,27,81,529689
0,3,81,0,283775
0,3,81,1,222322
0,3,81,3,209089
0,3,81,9,190889
0,3,81,27,170793
0,3,81,81,146180
1,0,0,0,93963
1,0,0,1,2701
1,0,0,3,917
1,0,0,9,916
1,0,0,27,916
1,0,0,81,915
1,0,1,0,7788
1,0,1,1,2040
1,0,1,3,758
1,0,1,9,758
1,0,1,27,758
1,0,1,81,758
1,0,3,0,5011
1,0,3,1,1712
1,0,3,3,739
1,0,3,9,739
1,0,3,27,739
1,0,3,81,739
1,0,9,0,2711
1,0,9,1,1005
1,0,9,3,685
1,0,9,9,685
1,0,9,27,685
1,0,9,81,685
1,0,27,0,1236
1,0,27,1,511
1,0,27,3,509
1,0,27,9,509
1,0,27,27,509
1,0,27,81,509
1,0,81,0,361
1,0,81,1,32
1,0,81,3,30
1,0,81,9,30
1,0,81,27,30
1,0,81,81,30
1,1,0,0,757
1,1,0,1,3
1,1,0,3,1
1,1,0,9,1
1,1,0,27,0
1,1,0,81,0
1,1,1,0,258
1,1,1,1,3
1,1,1,3,1
1,1,1,9,1
1,1,1,27,0
1,1,1,81,0
1,1,3,0,242
1,1,3,1,3
1,1,3,3,1
1,1,3,9,1
1,1,3,27,0
1,1,3,81,0
1,1,9,0,234
1,1,9,1,3
1,1,9,3,1
1,1,9,9,1
1,1,9,27,0
1,1,9,81,0
1,1,27,0,222
1,1,27,1,2
1,1,27,3,0
1,1,27,9,0
1,1,27,27,0
1,1,27,81,0
1,1,81,0,54
1,1,81,1,0
1,1,81,3,0
1,1,81,9,0
1,1,81,27,0
1,1,81,81,0
1,2,0,0,1519
1,2,0,1,2
1,2,0,3,0
1,2,0,9,0
1,2,0,27,0
1,2,0,81,0
1,2,1,0,351
1,2,1,1,2
1,2,1,3,0
1,2,1,9,0
1,2,1,27,0
1,2,1,81,0
1,2,3,0,315
1,2,3,1,2
1,2,3,3,0
1,2,3,9,0
1,2,3,27,0
1,2,3,81,0
1,2,9,0,287
1,2,9,1,2
1,2,9,3,0
1,2,9,9,0
1,2,9,27,0
1,2,9,81,0
1,2,27,0,242
1,2,27,1,2
1,2,27,3,0
1,2,27,9,0
1,2,27,27,0
1,2,27,81,0
1,2,81,0,119
1,2,81,1,2
1,2,81,3,0
1,2,81,9,0
1,2,81,27,0
1,2,81,81,0
