argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,535507798
0,0,0,1,63199086
0,0,0,3,37405082
0,0,0,9,24443668
0,0,0,27,15601268
0,0,0,81,9636615
0,0,1,0,31471952
0,0,1,1,7873341
0,0,1,3,5868254
0,0,1,9,4404371
0,0,1,27,3160270
0,0,1,81,2134906
0,0,3,0,16285925
0,0,3,1,4812849
0,0,3,3,3759984
0,0,3,9,2937298
0,0,3,27,2170065
0,0,3,81,1495377
0,0,9,0,7488911
0,0,9,1,2616648
0,0,9,3,2110323
0,0,9,9,1692587
0,0,9,27,1285175
0,0,9,81,892139
0,0,27,0,3363373
0,0,27,1,1282198
0,0,27,3,1034608
0,0,27,9,832514
0,0,27,27,648612
0,0,27,81,451651
0,0,81,0,1569267
0,0,81,1,587116
0,0,81,3,463339
0,0,81,9,368012
0,0,81,27,287277
0,0,81,81,200210
0,1,0,0,108357
0,1,0,1,4131
0,1,0,3,2150
0,1,0,9,1838
0,1,0,27,1834
0,1,0,81,1834
0,1,1,0,11478
0,1,1,1,2447
0,1,1,3,1217
0,1,1,9,1204
0,1,1,27,1200
0,1,1,81,1200
0,1,3,0,6761
0,1,3,1,1674
0,1,3,3,816
0,1,3,9,803
0,1,3,27,802
0,1,3,81,802
0,1,9,0,3712
0,1,9,1,869
0,1,9,3,668
0,1,9,9,666
0,1,9,27,665
0,1,9,81,665
0,1,27,0,1965
0,1,27,1,497
0,1,27,3,491
0,1,27,9,489
0,1,27,27,489
0,1,27,81,489
0,1,81,0,671
0,1,81,1,16
0,1,81,3,12
0,1,81,9,10
0,1,81,27,10
0,1,81,81,10
0,2,0,0,22055851
0,2,0,1,2715383
0,2,0,3,1908635
0,2,0,9,1409764
0,2,0,27,945929
0,2,0,81,558916
0,2,1,0,3080128
0,2,1,1,808043
0,2,1,3,609990
0,2,1,9,453575
0,2,1,27,295322
0,2,1,81,166894
0,2,3,0,2069641
0,2,3,1,632005
0,2,3,3,486404
0,2,3,9,366642
0,2,3,27,237748
0,2,3,81,133497
0,2,9,0,1384011
0,2,9,1,475681
0,2,9,3,370932
0,2,9,9,283566
0,2,9,27,183159
0,2,9,81,103342
0,2,27,0,922909
0,2,27,1,335010
0,2,27,3,253652
0,2,27,9,194930
0,2,27,27,124742
0,2,27,81,67210
0,2,81,0,596533
0,2,81,1,208764
0,2,81,3,152587
0,2,81,9,115863
0,2,81,27,68341
0,2,81,81,39747
0,3,0,0,33271559
0,3,0,1,6008668
0,3,0,3,4587660
0,3,0,9,3566762
0,3,0,27,2633337
0,3,0,81,1798989
0,3,1,0,3296446
0,3,1,1,1704489
0,3,1,3,1488234
0,3,1,9,1274784
0,3,1,27,1055528
0,3,1,81,816325
0,3,3,0,1982268
0,3,3,1,1110574
0,3,3,3,980095
0,3,3,9,850939
0,3,3,27,715769
0,3,3,81,562082
0,3,9,0,1072989
0,3,9,1,614528
0,3,9,3,540449
0,3,9,9,470092
0,3,9,27,395766
0,3,9,81,310731
0,3,27,0,551657
0,3,27,1,299528
0,3,27,3,256201
0,3,27,9,218698
0,3,27,27,180701
0,3,27,81,138318
0,3,81,0,272873
0,3,81,1,132929
0,3,81,3,111437
0,3,81,9,90851
0,3,81,27,72419
0,3,81,81,54315
1,0,0,0,9222526
1,0,0,1,2031628
1,0,0,3,1407163
1,0,0,9,991614
1,0,0,27,651493
1,0,0,81,413110
1,0,1,0,8248756
1,0,1,1,1904446
1,0,1,3,1325789
1,0,1,9,932678
1,0,1,27,613983
1,0,1,81,391118
1,0,3,0,7789392
1,0,3,1,1806777
1,0,3,3,1256481
1,0,3,9,881161
1,0,3,27,579554
1,0,3,81,368609
1,0,9,0,6924023
1,0,9,1,1602462
1,0,9,3,1106804
1,0,9,9,771479
1,0,9,27,504676
1,0,9,81,319919
1,0,27,0,5646988
1,0,27,1,1292884
1,0,27,3,879067
1,0,27,9,603387
1,0,27,27,388534
1,0,27,81,239553
1,0,81,0,4136720
1,0,81,1,947691
1,0,81,3,631224
1,0,81,9,426975
1,0,81,27,266481
1,0,81,81,160094
1,1,0,0,199
1,1,0,1,174
1,1,0,3,0
1,1,0,9,0
1,1,0,27,0
1,1,0,81,0
1,1,1,0,197
1,1,1,1,174
1,1,1,3,0
1,1,1,9,0
1,1,1,27,0
1,1,1,81,0
1,1,3,0,196
1,1,3,1,173
1,1,3,3,0
1,1,3,9,0
1,1,3,27,0
1,1,3,81,0
1,1,9,0,158
1,1,9,1,136
1,1,9,3,0
1,1,9,9,0
1,1,9,27,0
1,1,9,81,0
1,1,27,0,0
1,1,27,1,0
1,1,27,3,0
1,1,27,9,0
1,1,27,27,0
1,1,27,81,0
1,1,81,0,0
1,1,81,1,0
1,1,81,3,0
1,1,81,9,0
1,1,81,27,0
1,1,81,81,0
1,2,0,0,223252
1,2,0,1,52872
1,2,0,3,35377
1,2,0,9,25063
1,2,0,27,17195
1,2,0,81,10387
1,2,1,0,214010
1,2,1,1,51799
1,2,1,3,34838
1,2,1,9,24776
1,2,1,27,17057
1,2,1,81,10310
1,2,3,0,210020
1,2,3,1,50971
1,2,3,3,34333
1,2,3,9,24487
1,2,3,27,16878
1,2,3,81,10236
1,2,9,0,202093
1,2,9,1,48260
1,2,9,3,32382
1,2,9,9,23025
1,2,9,27,15736
1,2,9,81,9692
1,2,27,0,182750
1,2,27,1,42488
1,2,27,3,27816
1,2,27,9,19985
1,2,27,27,13166
1,2,27,81,7756
1,2,81,0,145913
1,2,81,1,33267
1,2,81,3,22461
1,2,81,9,16281
1,2,81,27,10712
1,2,81,81,6217
1,3,0,0,1277504
1,3,0,1,423395
1,3,0,3,321146
1,3,0,9,244828
1,3,0,27,174457
1,3,0,81,127767
1,3,1,0,1169863
1,3,1,1,400155
1,3,1,3,305690
1,3,1,9,234358
1,3,1,27,168073
1,3,1,81,123912
1,3,3,0,1110055
1,3,3,1,379950
1,3,3,3,289580
1,3,3,9,222730
1,3,3,27,159946
1,3,3,81,118536
1,3,9,0,984336
1,3,9,1,330307
1,3,9,3,249065
1,3,9,9,191032
1,3,9,27,136330
1,3,9,81,101060
1,3,27,0,792061
1,3,27,1,257395
1,3,27,3,188851
1,3,27,9,141760
1,3,27,27,98354
1,3,27,81,70935
1,3,81,0,576206
1,3,81,1,179212
1,3,81,3,127631
1,3,81,9,91549
1,3,81,27,59870
1,3,81,81,41507
2,0,0,0,5039151
2,0,0,1,732718
2,0,0,3,481225
2,0,0,9,337649
2,0,0,27,223969
2,0,0,81,143620
2,0,1,0,1475314
2,0,1,1,388344
2,0,1,3,279552
2,0,1,9,198648
2,0,1,27,136293
2,0,1,81,87727
