argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,574343437
0,0,0,1,66094245
0,0,0,3,39034027
0,0,0,9,25351106
0,0,0,27,15871826
0,0,0,81,9505176
0,0,1,0,31351302
0,0,1,1,7385600
0,0,1,3,5346514
0,0,1,9,3853508
0,0,1,27,2562831
0,0,1,81,1586545
0,0,3,0,15478912
0,0,3,1,4378237
0,0,3,3,3347103
0,0,3,9,2533505
0,0,3,27,1743563
0,0,3,81,1110755
0,0,9,0,6593987
0,0,9,1,2315993
0,0,9,3,1855706
0,0,9,9,1466952
0,0,9,27,1057591
0,0,9,81,693067
0,0,27,0,2618398
0,0,27,1,1105104
0,0,27,3,902481
0,0,27,9,729719
0,0,27,27,557239
0,0,27,81,378295
0,0,81,0,1013801
0,0,81,1,464547
0,0,81,3,383029
0,0,81,9,309170
0,0,81,27,240997
0,0,81,81,172472
0,1,0,0,5944161
0,1,0,1,1023952
0,1,0,3,677496
0,1,0,9,471266
0,1,0,27,304221
0,1,0,81,172876
0,1,1,0,3014871
0,1,1,1,697518
0,1,1,3,480234
0,1,1,9,337802
0,1,1,27,220877
0,1,1,81,128298
0,1,3,0,2390396
0,1,3,1,589410
0,1,3,3,409102
0,1,3,9,288570
0,1,3,27,189193
0,1,3,81,110199
0,1,9,0,1759704
0,1,9,1,456863
0,1,9,3,318409
0,1,9,9,227262
0,1,9,27,149016
0,1,9,81,87606
0,1,27,0,1236260
0,1,27,1,330711
0,1,27,3,230221
0,1,27,9,165815
0,1,27,27,107344
0,1,27,81,63903
0,1,81,0,802181
0,1,81,1,217667
0,1,81,3,149869
0,1,81,9,107710
0,1,81,27,70077
0,1,81,81,42425
0,2,0,0,2957304
0,2,0,1,488102
0,2,0,3,326739
0,2,0,9,225004
0,2,0,27,148660
0,2,0,81,85686
0,2,1,0,1191824
0,2,1,1,305742
0,2,1,3,212231
0,2,1,9,144218
0,2,1,27,91476
0,2,1,81,50476
0,2,3,0,994312
0,2,3,1,273995
0,2,3,3,192247
0,2,3,9,131664
0,2,3,27,83262
0,2,3,81,45883
0,2,9,0,813238
0,2,9,1,238418
0,2,9,3,168847
0,2,9,9,117245
0,2,9,27,73384
0,2,9,81,39699
0,2,27,0,656043
0,2,27,1,198264
0,2,27,3,138607
0,2,27,9,98872
0,2,27,27,62469
0,2,27,81,33170
0,2,81,0,502840
0,2,81,1,152755
0,2,81,3,105442
0,2,81,9,77678
0,2,81,27,47125
0,2,81,81,25501
0,3,0,0,7698663
0,3,0,1,4320969
0,3,0,3,3865265
0,3,0,9,3374656
0,3,0,27,2857661
0,3,0,81,2232616
0,3,1,0,2302007
0,3,1,1,1999460
0,3,1,3,1928716
0,3,1,9,1798406
0,3,1,27,1637136
0,3,1,81,1354006
0,3,3,0,1480975
0,3,3,1,1315460
0,3,3,3,1278847
0,3,3,9,1201943
0,3,3,27,1108366
0,3,3,81,924921
0,3,9,0,782694
0,3,9,1,696452
0,3,9,3,679410
0,3,9,9,635452
0,3,9,27,584774
0,3,9,81,486505
0,3,27,0,329203
0,3,27,1,283154
0,3,27,3,273643
0,3,27,9,252225
0,3,27,27,227492
0,3,27,81,182300
0,3,81,0,120522
0,3,81,1,93856
0,3,81,3,89035
0,3,81,9,80178
0,3,81,27,69848
0,3,81,81,53884
1,0,0,0,2707655
1,0,0,1,635735
1,0,0,3,466262
1,0,0,9,335543
1,0,0,27,217849
1,0,0,81,132867
1,0,1,0,1900012
1,0,1,1,533260
1,0,1,3,401660
1,0,1,9,291956
1,0,1,27,192316
1,0,1,81,119999
1,0,3,0,1630409
1,0,3,1,472232
1,0,3,3,358306
1,0,3,9,261425
1,0,3,27,173730
1,0,3,81,109467
1,0,9,0,1222362
1,0,9,1,364769
1,0,9,3,278260
1,0,9,9,205680
1,0,9,27,139553
1,0,9,81,90306
1,0,27,0,750665
1,0,27,1,230561
1,0,27,3,176157
1,0,27,9,132342
1,0,27,27,94285
1,0,27,81,62146
1,0,81,0,374851
1,0,81,1,114437
1,0,81,3,85953
1,0,81,9,66420
1,0,81,27,47368
1,0,81,81,30556
1,1,0,0,7182448
1,1,0,1,1431035
1,1,0,3,914849
1,1,0,9,593256
1,1,0,27,343878
1,1,0,81,191736
1,1,1,0,6945716
1,1,1,1,1404292
1,1,1,3,898643
1,1,1,9,581599
1,1,1,27,337418
1,1,1,81,188272
1,1,3,0,6728483
1,1,3,1,1371139
1,1,3,3,878352
1,1,3,9,568925
1,1,3,27,330112
1,1,3,81,184281
1,1,9,0,6223525
1,1,9,1,1283771
1,1,9,3,822903
1,1,9,9,533804
1,1,9,27,309580
1,1,9,81,173639
1,1,27,0,5340608
1,1,27,1,1126264
1,1,27,3,721847
1,1,27,9,468595
1,1,27,27,272205
1,1,27,81,153313
1,1,81,0,4093880
1,1,81,1,895383
1,1,81,3,574522
1,1,81,9,372745
1,1,81,27,218123
1,1,81,81,125756
1,2,0,0,318313
1,2,0,1,68959
1,2,0,3,45482
1,2,0,9,32506
1,2,0,27,21000
1,2,0,81,12290
1,2,1,0,310862
1,2,1,1,68156
1,2,1,3,45180
1,2,1,9,32271
1,2,1,27,20827
1,2,1,81,12172
1,2,3,0,306879
1,2,3,1,67251
1,2,3,3,44538
1,2,3,9,31806
1,2,3,27,20399
1,2,3,81,11950
1,2,9,0,297302
1,2,9,1,64955
1,2,9,3,42593
1,2,9,9,30283
1,2,9,27,19336
1,2,9,81,11606
1,2,27,0,275680
1,2,27,1,60459
1,2,27,3,39366
1,2,27,9,28222
1,2,27,27,18078
1,2,27,81,10821
1,2,81,0,235626
1,2,81,1,51943
1,2,81,3,34821
1,2,81,9,25192
1,2,81,27,16189
1,2,81,81,9764
1,3,0,0,515065
1,3,0,1,372340
1,3,0,3,337093
1,3,0,9,300200
1,3,0,27,260418
1,3,0,81,214371
1,3,1,0,476236
1,3,1,1,350866
1,3,1,3,320834
1,3,1,9,285986
1,3,1,27,248552
1,3,1,81,204897
1,3,3,0,443892
1,3,3,1,327249
1,3,3,3,299198
1,3,3,9,266222
1,3,3,27,232137
1,3,3,81,191683
1,3,9,0,367421
1,3,9,1,267670
1,3,9,3,244495
1,3,9,9,215769
1,3,9,27,188273
1,3,9,81,155120
1,3,27,0,254846
1,3,27,1,175483
1,3,27,3,158364
1,3,27,9,135973
1,3,27,27,115486
1,3,27,81,91964
1,3,81,0,154482
1,3,81,1,98407
1,3,81,3,86020
1,3,81,9,70448
1,3,81,27,55383
1,3,81,81,41742
2,0,0,0,9374708
2,0,0,1,1348838
2,0,0,3,918355
2,0,0,9,630000
2,0,0,27,414316
2,0,0,81,260804
2,0,1,0,2268919
2,0,1,1,647955
2,0,1,3,473005
2,0,1,9,322112
2,0,1,27,212289
2,0,1,81,140938
2,0,3,0,1785603
2,0,3,1,544193
2,0,3,3,398362
2,0,3,9,273292
2,0,3,27,179660
2,0,3,81,120413
2,0,9,0,1351968
2,0,9,1,435146
2,0,9,3,321295
2,0,9,9,222404
2,0,9,27,147137
2,0,9,81,97729
2,0,27,0,940706
2,0,27,1,316485
2,0,27,3,239825
2,0,27,9,167222
2,0,27,27,110346
2,0,27,81,71844
2,0,81,0,597925
2,0,81,1,209288
2,0,81,3,160337
2,0,81,9,113211
2,0,81,27,74685
2,0,81,81,48540
2,1,0,0,682238
2,1,0,1,126666
2,1,0,3,81662
2,1,0,9,52772
2,1,0,27,31720
2,1,0,81,17835
2,1,1,0,574698
2,1,1,1,115207
2,1,1,3,74538
2,1,1,9,48155
2,1,1,27,28815
2,1,1,81,15968
2,1,3,0,546818
2,1,3,1,111445
2,1,3,3,71707
2,1,3,9,46120
2,1,3,27,27698
2,1,3,81,15469
2,1,9,0,509980
2,1,9,1,104026
2,1,9,3,66868
2,1,9,9,42379
2,1,9,27,25254
2,1,9,81,14784
2,1,27,0,454434
2,1,27,1,91640
2,1,27,3,59015
2,1,27,9,36765
2,1,27,27,21766
