argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,537923708
0,0,0,1,48144950
0,0,0,3,24103004
0,0,0,9,14037004
0,0,0,27,7963518
0,0,0,81,4340311
0,0,1,0,15330559
0,0,1,1,3458268
0,0,1,3,2133142
0,0,1,9,1383351
0,0,1,27,881731
0,0,1,81,490815
0,0,3,0,7760654
0,0,3,1,2008854
0,0,3,3,1312753
0,0,3,9,889234
0,0,3,27,593109
0,0,3,81,338328
0,0,9,0,3146150
0,0,9,1,971787
0,0,9,3,682290
0,0,9,9,476011
0,0,9,27,329163
0,0,9,81,197391
0,0,27,0,1155673
0,0,27,1,420763
0,0,27,3,306794
0,0,27,9,219643
0,0,27,27,154557
0,0,27,81,93439
0,0,81,0,386586
0,0,81,1,150418
0,0,81,3,112853
0,0,81,9,77350
0,0,81,27,54899
0,0,81,81,33252
0,1,0,0,11804799
0,1,0,1,2593813
0,1,0,3,1552814
0,1,0,9,977313
0,1,0,27,608765
0,1,0,81,340242
0,1,1,0,7899896
0,1,1,1,1986906
0,1,1,3,1226264
0,1,1,9,781131
0,1,1,27,492636
0,1,1,81,278724
0,1,3,0,6969603
0,1,3,1,1793743
0,1,3,3,1108942
0,1,3,9,706418
0,1,3,27,445440
0,1,3,81,252713
0,1,9,0,5769700
0,1,9,1,1523324
0,1,9,3,939984
0,1,9,9,592154
0,1,9,27,372344
0,1,9,81,209520
0,1,27,0,4441450
0,1,27,1,1200269
0,1,27,3,736884
0,1,27,9,456641
0,1,27,27,281275
0,1,27,81,153445
0,1,81,0,3024485
0,1,81,1,848379
0,1,81,3,516238
0,1,81,9,315059
0,1,81,27,191469
0,1,81,81,100450
0,2,0,0,1190496
0,2,0,1,290099
0,2,0,3,188416
0,2,0,9,130584
0,2,0,27,90209
0,2,0,81,52849
0,2,1,0,762140
0,2,1,1,210758
0,2,1,3,137555
0,2,1,9,96199
0,2,1,27,67487
0,2,1,81,38806
0,2,3,0,692446
0,2,3,1,193566
0,2,3,3,125860
0,2,3,9,88531
0,2,3,27,61847
0,2,3,81,35699
0,2,9,0,604867
0,2,9,1,170687
0,2,9,3,110386
0,2,9,9,76670
0,2,9,27,52665
0,2,9,81,30782
0,2,27,0,502909
0,2,27,1,140351
0,2,27,3,88564
0,2,27,9,60015
0,2,27,27,39600
