argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,481048579
0,0,0,1,38416196
0,0,0,3,17330719
0,0,0,9,9198575
0,0,0,27,4410529
0,0,0,81,2167881
0,0,1,0,13753939
0,0,1,1,2591806
0,0,1,3,1406571
0,0,1,9,812057
0,0,1,27,436874
0,0,1,81,199729
0,0,3,0,7046108
0,0,3,1,1486760
0,0,3,3,848687
0,0,3,9,511332
0,0,3,27,291595
0,0,3,81,140226
0,0,9,0,2971474
0,0,9,1,725720
0,0,9,3,443526
0,0,9,9,273716
0,0,9,27,161916
0,0,9,81,82785
0,0,27,0,1207116
0,0,27,1,335601
0,0,27,3,209352
0,0,27,9,132163
0,0,27,27,77728
0,0,27,81,40156
0,0,81,0,472149
0,0,81,1,133897
0,0,81,3,79848
0,0,81,9,47390
0,0,81,27,26692
0,0,81,81,13134
0,1,0,0,9261
0,1,0,1,0
0,1,0,3,0
0,1,0,9,0
0,1,0,27,0
0,1,0,81,0
0,1,1,0,1171
0,1,1,1,0
0,1,1,3,0
0,1,1,9,0
0,1,1,27,0
0,1,1,81,0
0,1,3,0,523
0,1,3,1,0
0,1,3,3,0
0,1,3,9,0
0,1,3,27,0
0,1,3,81,0
0,1,9,0,161
0,1,9,1,0
0,1,9,3,0
0,1,9,9,0
0,1,9,27,0
0,1,9,81,0
0,1,27,0,48
0,1,27,1,0
0,1,27,3,0
0,1,27,9,0
0,1,27,27,0
0,1,27,81,0
0,1,81,0,0
0,1,81,1,0
0,1,81,3,0
0,1,81,9,0
0,1,81,27,0
0,1,81,81,0
0,2,0,0,14008239
0,2,0,1,989927
0,2,0,3,529583
0,2,0,9,315885
0,2,0,27,182398
0,2,0,81,79292
0,2,1,0,454686
0,2,1,1,130438
0,2,1,3,82669
0,2,1,9,46710
0,2,1,27,24159
0,2,1,81,10254
0,2,3,0,255678
0,2,3,1,87053
0,2,3,3,58948
0,2,3,9,34883
0,2,3,27,18410
0,2,3,81,8877
0,2,9,0,142440
0,2,9,1,55912
0,2,9,3,39165
0,2,9,9,25356
0,2,9,27,13805
0,2,9,81,7183
0,2,27,0,79204
0,2,27,1,31784
0,2,27,3,21226
0,2,27,9,15488
0,2,27,27,8510
0,2,27,81,5480
0,2,81,0,41644
0,2,81,1,15324
0,2,81,3,9993
0,2,81,9,6295
0,2,81,27,3272
0,2,81,81,2076
0,3,0,0,18941781
0,3,0,1,1651938
0,3,0,3,922990
0,3,0,9,566509
0,3,0,27,327579
0,3,0,81,152113
0,3,1,0,645250
0,3,1,1,247972
0,3,1,3,180168
0,3,1,9,115855
0,3,1,27,67612
0,3,1,81,36508
0,3,3,0,398029
0,3,3,1,164912
0,3,3,3,120147
0,3,3,9,79914
0,3,3,27,46935
0,3,3,81,26810
0,3,9,0,217193
0,3,9,1,90229
0,3,9,3,63165
0,3,9,9,42125
0,3,9,27,26527
0,3,9,81,15744
0,3,27,0,110287
0,3,27,1,41888
0,3,27,3,27538
0,3,27,9,17612
0,3,27,27,10986
0,3,27,81,6514
0,3,81,0,57238
0,3,81,1,21013
0,3,81,3,13980
0,3,81,9,8197
0,3,81,27,4823
0,3,81,81,3386
1,0,0,0,14666913
1,0,0,1,2455231
1,0,0,3,1287908
1,0,0,9,733942
1,0,0,27,401707
1,0,0,81,206717
1,0,1,0,6915208
1,0,1,1,1518155
1,0,1,3,844637
1,0,1,9,478071
1,0,1,27,267371
1,0,1,81,138887
1,0,3,0,6013183
1,0,3,1,1363844
1,0,3,3,764401
1,0,3,9,434432
1,0,3,27,243341
1,0,3,81,126838
1,0,9,0,4947951
1,0,9,1,1158203
1,0,9,3,651327
1,0,9,9,370626
1,0,9,27,207154
1,0,9,81,109757
1,0,27,0,3835044
1,0,27,1,933020
1,0,27,3,523908
1,0,27,9,297396
1,0,27,27,164105
1,0,27,81,85349
1,0,81,0,2651292
1,0,81,1,675237
1,0,81,3,377099
1,0,81,9,212361
1,0,81,27,116285
1,0,81,81,59209
1,1,0,0,531
1,1,0,1,0
1,1,0,3,0
1,1,0,9,0
1,1,0,27,0
1,1,0,81,0
1,1,1,0,110
1,1,1,1,0
1,1,1,3,0
1,1,1,9,0
1,1,1,27,0
1,1,1,81,0
1,1,3,0,43
1,1,3,1,0
1,1,3,3,0
1,1,3,9,0
1,1,3,27,0
1,1,3,81,0
1,1,9,0,43
1,1,9,1,0
1,1,9,3,0
1,1,9,9,0
1,1,9,27,0
1,1,9,81,0
1,1,27,0,43
1,1,27,1,0
1,1,27,3,0
1,1,27,9,0
1,1,27,27,0
1,1,27,81,0
1,1,81,0,16
1,1,81,1,0
1,1,81,3,0
1,1,81,9,0
1,1,81,27,0
1,1,81,81,0
1,2,0,0,535285
1,2,0,1,105565
1,2,0,3,59784
1,2,0,9,37695
1,2,0,27,22918
1,2,0,81,11652
1,2,1,0,285223
1,2,1,1,72470
1,2,1,3,40229
1,2,1,9,25405
1,2,1,27,14540
1,2,1,81,8541
1,2,3,0,251495
1,2,3,1,64877
1,2,3,3,35902
1,2,3,9,22448
1,2,3,27,13255
1,2,3,81,7823
1,2,9,0,211368
1,2,9,1,54209
1,2,9,3,29885
1,2,9,9,18514
1,2,9,27,11130
1,2,9,81,6438
1,2,27,0,164413
1,2,27,1,40003
1,2,27,3,22838
1,2,27,9,14035
1,2,27,27,7998
1,2,27,81,4156
1,2,81,0,116594
1,2,81,1,28328
1,2,81,3,16316
1,2,81,9,9885
1,2,81,27,5362
1,2,81,81,2704
1,3,0,0,2183616
1,3,0,1,490662
1,3,0,3,281138
1,3,0,9,172037
1,3,0,27,89529
1,3,0,81,56374
1,3,1,0,1170977
1,3,1,1,327674
1,3,1,3,196438
1,3,1,9,118306
1,3,1,27,62000
1,3,1,81,39416
1,3,3,0,1031090
1,3,3,1,293246
1,3,3,3,178036
1,3,3,9,106995
1,3,3,27,56436
1,3,3,81,35923
1,3,9,0,855861
1,3,9,1,245980
1,3,9,3,148388
1,3,9,9,87755
1,3,9,27,47333
1,3,9,81,29483
1,3,27,0,656275
1,3,27,1,188743
1,3,27,3,112758
1,3,27,9,64086
1,3,27,27,35036
1,3,27,81,19831
1,3,81,0,459974
1,3,81,1,135594
1,3,81,3,80486
1,3,81,9,43757
1,3,81,27,23260
1,3,81,81,12994
2,0,0,0,2145028
2,0,0,1,330541
2,0,0,3,182225
2,0,0,9,112078
2,0,0,27,64589
2,0,0,81,36212
2,0,1,0,779505
2,0,1,1,191309
2,0,1,3,114591
2,0,1,9,72294
2,0,1,27,42516
2,0,1,81,25179
2,0,3,0,677593
2,0,3,1,172618
2,0,3,3,104566
2,0,3,9,65553
2,0,3,27,38207
2,0,3,81,22503
2,0,9,0,570565
2,0,9,1,150710
2,0,9,3,91177
2,0,9,9,56594
2,0,9,27,32741
2,0,9,81,18850
2,0,27,0,452076
2,0,27,1,122699
2,0,27,3,75098
2,0,27,9,46343
2,0,27,27,27129
2,0,27,81,14487
2,0,81,0,327139
2,0,81,1,89786
2,0,81,3,55397
2,0,81,9,32051
2,0,81,27,19012
2,0,81,81,10239
2,1,0,0,588
2,1,0,1,2
2,1,0,3,0
2,1,0,9,0
2,1,0,27,0
2,1,0,81,0
2,1,1,0,268
2,1,1,1,2
2,1,1,3,0
2,1,1,9,0
2,1,1,27,0
2,1,1,81,0
2,1,3,0,216
2,1,3,1,2
2,1,3,3,0
2,1,3,9,0
2,1,3,27,0
2,1,3,81,0
2,1,9,0,216
2,1,9,1,2
2,1,9,3,0
2,1,9,9,0
2,1,9,27,0
2,1,9,81,0
2,1,27,0,198
2,1,27,1,2
2,1,27,3,0
2,1,27,9,0
2,1,27,27,0
2,1,27,81,0
2,1,81,0,123
2,1,81,1,2
2,1,81,3,0
2,1,81,9,0
2,1,81,27,0
2,1,81,81,0
2,2,0,0,29291981
2,2,0,1,5875879
2,2,0,3,3089103
2,2,0,9,1739590
2,2,0,27,944204
2,2,0,81,453961
2,2,1,0,22972789
2,2,1,1,5071454
2,2,1,3,2689183
2,2,1,9,1482319
2,2,1,27,801900
2,2,1,81,394726
2,2,3,0,21762401
2,2,3,1,4879110
2,2,3,3,2586758
2,2,3,9,1416890
2,2,3,27,765586
2,2,3,81,374114
2,2,9,0,20000592
2,2,9,1,4573136
2,2,9,3,2414600
2,2,9,9,1310639
2,2,9,27,705242
2,2,9,81,339792
2,2,27,0,17610517
2,2,27,1,4124445
2,2,27,3,2169757
2,2,27,9,1169905
2,2,27,27,624466
2,2,27,81,297593
2,2,81,0,14127940
2,2,81,1,3422597
2,2,81,3,1788788
2,2,81,9,957041
2,2,81,27,510249
2,2,81,81,240363
2,3,0,0,1154174
2,3,0,1,327810
2,3,0,3,217150
2,3,0,9,154492
2,3,0,27,111991
2,3,0,81,76431
2,3,1,0,691672
2,3,1,1,249016
2,3,1,3,172561
2,3,1,9,122644
2,3,1,27,90010
2,3,1,81,63387
2,3,3,0,631247
2,3,3,1,228563
2,3,3,3,158313
2,3,3,9,111080
2,3,3,27,80512
2,3,3,81,56525
2,3,9,0,550767
2,3,9,1,196933
2,3,9,3,134048
2,3,9,9,90356
2,3,9,27,62833
2,3,9,81,42607
2,3,27,0,457917
2,3,27,1,158071
2,3,27,3,103433
2,3,27,9,64831
2,3,27,27,42185
2,3,27,81,25720
2,3,81,0,347602
2,3,81,1,120074
2,3,81,3,76256
2,3,81,9,45245
2,3,81,27,27704
2,3,81,81,14140
3,0,0,0,60323464
3,0,0,1,15660663
3,0,0,3,12556771
3,0,0,9,10113019
3,0,0,27,8164039
3,0,0,81,5737070
3,0,1,0,5822609
3,0,1,1,4412270
3,0,1,3,4107536
3,0,1,9,3731161
3,0,1,27,3282522
3,0,1,81,2605536
3,0,3,0,4016846
3,0,3,1,3157825
3,0,3,3,2957573
3,0,3,9,2706205
3,0,3,27,2394232
3,0,3,81,1945092
3,0,9,0,2319993
3,0,9,1,1823009
3,0,9,3,1700959
3,0,9,9,1542430
3,0,9,27,1358684
3,0,9,81,1121312
3,0,27,0,1135014
3,0,27,1,837518
3,0,27,3,767470
3,0,27,9,671865
3,0,27,27,572179
3,0,27,81,456345
3,0,81,0,531993
3,0,81,1,361141
3,0,81,3,323521
3,0,81,9,267862
3,0,81,27,215673
3,0,81,81,155990
3,1,0,0,613
3,1,0,1,175
3,1,0,3,175
3,1,0,9,175
3,1,0,27,163
3,1,0,81,76
3,1,1,0,93
3,1,1,1,93
3,1,1,3,93
3,1,1,9,93
3,1,1,27,81
3,1,1,81,76
3,1,3,0,89
3,1,3,1,89
3,1,3,3,89
3,1,3,9,89
3,1,3,27,77
3,1,3,81,76
3,1,9,0,2
3,1,9,1,2
3,1,9,3,2
3,1,9,9,2
3,1,9,27,2
3,1,9,81,1
3,1,27,0,0
3,1,27,1,0
3,1,27,3,0
3,1,27,9,0
3,1,27,27,0
3,1,27,81,0
3,1,81,0,0
3,1,81,1,0
3,1,81,3,0
3,1,81,9,0
3,1,81,27,0
3,1,81,81,0
3,2,0,0,4740473
3,2,0,1,1677915
3,2,0,3,1398593
3,2,0,9,1088037
3,2,0,27,893213
3,2,0,81,645201
3,2,1,0,1858324
3,2,1,1,1011830
3,2,1,3,868568
3,2,1,9,677850
3,2,1,27,569333
3,2,1,81,438294
3,2,3,0,1596053
3,2,3,1,854108
3,2,3,3,727304
3,2,3,9,557762
3,2,3,27,468459
3,2,3,81,362729
3,2,9,0,1297063
3,2,9,1,654078
3,2,9,3,542959
3,2,9,9,401059
3,2,9,27,333645
3,2,9,81,253131
3,2,27,0,982499
