argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,508918589
0,0,0,1,39679598
0,0,0,3,17849111
0,0,0,9,9477258
0,0,0,27,4543562
0,0,0,81,2200136
0,0,1,0,12688640
0,0,1,1,2250223
0,0,1,3,1170670
0,0,1,9,637144
0,0,1,27,315903
0,0,1,81,130784
0,0,3,0,6029999
0,0,3,1,1183137
0,0,3,3,646897
0,0,3,9,369979
0,0,3,27,196453
0,0,3,81,86624
0,0,9,0,2191520
0,0,9,1,505853
0,0,9,3,303953
0,0,9,9,181894
0,0,9,27,106180
0,0,9,81,52322
0,0,27,0,698856
0,0,27,1,199830
0,0,27,3,129827
0,0,27,9,82049
0,0,27,27,50095
0,0,27,81,26331
0,0,81,0,193721
0,0,81,1,61256
0,0,81,3,42151
0,0,81,9,24522
0,0,81,27,16097
0,0,81,81,8024
0,1,0,0,3103711
0,1,0,1,545267
0,1,0,3,276001
0,1,0,9,152994
0,1,0,27,74584
0,1,0,81,32642
0,1,1,0,1540174
0,1,1,1,333978
0,1,1,3,178508
0,1,1,9,99506
0,1,1,27,45352
0,1,1,81,19251
0,1,3,0,1224496
0,1,3,1,275617
0,1,3,3,148072
0,1,3,9,82674
0,1,3,27,37201
0,1,3,81,16286
0,1,9,0,875979
0,1,9,1,207179
0,1,9,3,112959
0,1,9,9,62612
0,1,9,27,29089
0,1,9,81,12671
0,1,27,0,569412
0,1,27,1,139314
0,1,27,3,75213
0,1,27,9,43056
0,1,27,27,20376
0,1,27,81,9106
0,1,81,0,318536
0,1,81,1,81083
0,1,81,3,42815
0,1,81,9,24746
0,1,81,27,10676
0,1,81,81,4964
0,2,0,0,563071
0,2,0,1,161165
0,2,0,3,107438
0,2,0,9,65947
0,2,0,27,39480
0,2,0,81,16712
0,2,1,0,222102
0,2,1,1,86186
0,2,1,3,58224
0,2,1,9,34553
0,2,1,27,18274
0,2,1,81,8372
0,2,3,0,178914
0,2,3,1,71104
0,2,3,3,48888
0,2,3,9,29531
0,2,3,27,15706
0,2,3,81,7577
0,2,9,0,128157
0,2,9,1,51688
0,2,9,3,35653
0,2,9,9,23796
0,2,9,27,12346
0,2,9,81,6332
0,2,27,0,77683
0,2,27,1,30196
0,2,27,3,19538
0,2,27,9,14574
0,2,27,27,7370
0,2,27,81,4558
0,2,81,0,41146
0,2,81,1,14604
0,2,81,3,8666
0,2,81,9,5439
0,2,81,27,2829
0,2,81,81,1671
0,3,0,0,1422489
0,3,0,1,672031
0,3,0,3,550742
0,3,0,9,384770
0,3,0,27,262880
0,3,0,81,149796
0,3,1,0,404130
0,3,1,1,299829
0,3,1,3,262006
0,3,1,9,203419
0,3,1,27,149116
0,3,1,81,88084
0,3,3,0,266929
0,3,3,1,208867
0,3,3,3,183925
0,3,3,9,143945
0,3,3,27,107580
0,3,3,81,65426
0,3,9,0,135612
0,3,9,1,107141
0,3,9,3,93291
0,3,9,9,72895
0,3,9,27,54633
0,3,9,81,34387
0,3,27,0,50704
0,3,27,1,39933
0,3,27,3,33538
0,3,27,9,25584
0,3,27,27,19383
0,3,27,81,12155
0,3,81,0,17628
0,3,81,1,13291
0,3,81,3,10189
0,3,81,9,7175
0,3,81,27,5185
0,3,81,81,3937
1,0,0,0,7890878
1,0,0,1,1086441
1,0,0,3,541573
1,0,0,9,311925
1,0,0,27,156514
1,0,0,81,80819
1,0,1,0,1342057
1,0,1,1,320068
1,0,1,3,182146
1,0,1,9,104043
1,0,1,27,48434
1,0,1,81,22540
1,0,3,0,910387
1,0,3,1,239882
1,0,3,3,143052
1,0,3,9,83738
1,0,3,27,39010
1,0,3,81,18328
1,0,9,0,532498
1,0,9,1,150959
1,0,9,3,94238
1,0,9,9,56655
1,0,9,27,27616
1,0,9,81,14080
1,0,27,0,271236
1,0,27,1,84064
1,0,27,3,52522
1,0,27,9,32560
1,0,27,27,17411
1,0,27,81,9455
1,0,81,0,119778
1,0,81,1,39356
1,0,81,3,25414
1,0,81,9,15711
1,0,81,27,8516
1,0,81,81,4736
1,1,0,0,8311487
1,1,0,1,1540734
1,1,0,3,782998
1,1,0,9,422337
1,1,0,27,218496
1,1,0,81,104894
1,1,1,0,6266706
1,1,1,1,1282660
1,1,1,3,666524
1,1,1,9,355167
1,1,1,27,184820
1,1,1,81,88249
1,1,3,0,5705538
1,1,3,1,1200057
1,1,3,3,627846
1,1,3,9,335172
1,1,3,27,174550
1,1,3,81,82508
1,1,9,0,4913286
1,1,9,1,1078246
1,1,9,3,569660
1,1,9,9,304208
1,1,9,27,158676
1,1,9,81,75293
1,1,27,0,3941590
1,1,27,1,908317
1,1,27,3,486938
1,1,27,9,261334
1,1,27,27,136769
1,1,27,81,64136
1,1,81,0,2796599
1,1,81,1,686558
1,1,81,3,370539
1,1,81,9,198772
1,1,81,27,104211
1,1,81,81,49153
