argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,3552309466
0,0,0,1,441325991
0,0,0,3,221512682
0,0,0,9,109595499
0,0,0,27,55777608
0,0,0,81,29531964
0,0,1,0,161045973
0,0,1,1,78990553
0,0,1,3,53120596
0,0,1,9,32524112
0,0,1,27,18968014
0,0,1,81,10998050
0,0,3,0,64717115
0,0,3,1,36615792
0,0,3,3,26116449
0,0,3,9,16972661
0,0,3,27,10333047
0,0,3,81,6300298
0,0,9,0,24712819
0,0,9,1,14648853
0,0,9,3,10736530
0,0,9,9,7252382
0,0,9,27,4604559
0,0,9,81,2934128
0,0,27,0,9936792
0,0,27,1,5839212
0,0,27,3,4107027
0,0,27,9,2706570
0,0,27,27,1758910
0,0,27,81,1129307
0,0,81,0,4050995
0,0,81,1,2381694
0,0,81,3,1576848
0,0,81,9,951129
0,0,81,27,618967
0,0,81,81,387827
0,1,0,0,27852364
0,1,0,1,8458217
0,1,0,3,4555081
0,1,0,9,2353255
0,1,0,27,1323692
0,1,0,81,822363
0,1,1,0,19053858
0,1,1,1,7345346
0,1,1,3,4004234
0,1,1,9,2038392
0,1,1,27,1135941
0,1,1,81,704270
0,1,3,0,17109273
0,1,3,1,6837386
0,1,3,3,3706942
0,1,3,9,1863228
0,1,3,27,1023059
0,1,3,81,631578
0,1,9,0,14930562
0,1,9,1,6187174
0,1,9,3,3309004
0,1,9,9,1617237
0,1,9,27,850851
0,1,9,81,511275
0,1,27,0,12444021
0,1,27,1,5408519
0,1,27,3,2842528
0,1,27,9,1332729
0,1,27,27,653110
0,1,27,81,366080
0,1,81,0,9251535
0,1,81,1,4351884
0,1,81,3,2278018
0,1,81,9,1035537
0,1,81,27,478411
0,1,81,81,246980
0,2,0,0,5240670
0,2,0,1,1714982
0,2,0,3,1152875
0,2,0,9,778766
0,2,0,27,535597
0,2,0,81,374105
0,2,1,0,3287335
0,2,1,1,1325693
0,2,1,3,858705
0,2,1,9,548605
0,2,1,27,352496
0,2,1,81,250339
0,2,3,0,2939556
0,2,3,1,1195139
0,2,3,3,753641
0,2,3,9,458463
0,2,3,27,279030
0,2,3,81,194283
0,2,9,0,2563599
0,2,9,1,1051941
0,2,9,3,642384
0,2,9,9,365000
0,2,9,27,202084
0,2,9,81,132857
0,2,27,0,2165912
0,2,27,1,908204
0,2,27,3,537467
0,2,27,9,285976
0,2,27,27,142936
0,2,27,81,82518
0,2,81,0,1599868
0,2,81,1,714267
0,2,81,3,416702
0,2,81,9,218780
0,2,81,27,101602
0,2,81,81,52137
0,3,0,0,497098239
0,3,0,1,403106672
0,3,0,3,368057015
0,3,0,9,327309762
0,3,0,27,278326270
0,3,0,81,196814898
0,3,1,0,92106353
0,3,1,1,88249267
0,3,1,3,85769150
0,3,1,9,82099023
0,3,1,27,75567996
0,3,1,81,60796964
0,3,3,0,37335771
0,3,3,1,35407746
0,3,3,3,34311902
0,3,3,9,33078643
0,3,3,27,30981116
0,3,3,81,26267708
0,3,9,0,12978519
0,3,9,1,11824043
0,3,9,3,11199132
0,3,9,9,10689347
0,3,9,27,10050027
0,3,9,81,8896463
0,3,27,0,4406850
0,3,27,1,3643134
0,3,27,3,3215003
0,3,27,9,2899458
0,3,27,27,2630812
0,3,27,81,2367765
0,3,81,0,1693127
0,3,81,1,1228115
0,3,81,3,943334
0,3,81,9,742130
0,3,81,27,602229
0,3,81,81,513941
1,0,0,0,44716
1,0,0,1,1593
1,0,0,3,1590
1,0,0,9,645
1,0,0,27,645
1,0,0,81,0
1,0,1,0,7099
1,0,1,1,1560
1,0,1,3,1559
1,0,1,9,641
1,0,1,27,641
1,0,1,81,0
1,0,3,0,3288
1,0,3,1,1321
1,0,3,3,1320
1,0,3,9,558
1,0,3,27,558
1,0,3,81,0
1,0,9,0,1338
1,0,9,1,458
1,0,9,3,457
1,0,9,9,332
1,0,9,27,332
1,0,9,81,0
1,0,27,0,391
1,0,27,1,1
1,0,27,3,0
