argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,3533886030
0,0,0,1,442903954
0,0,0,3,228232344
0,0,0,9,121283452
0,0,0,27,71513065
0,0,0,81,39958439
0,0,1,0,181243061
0,0,1,1,90317242
0,0,1,3,62123912
0,0,1,9,40185109
0,0,1,27,25755612
0,0,1,81,15716575
0,0,3,0,80765039
0,0,3,1,44457053
0,0,3,3,31489647
0,0,3,9,20963109
0,0,3,27,13520705
0,0,3,81,8525720
0,0,9,0,37402411
0,0,9,1,20319814
0,0,9,3,14065441
0,0,9,9,9278836
0,0,9,27,5968221
0,0,9,81,3831561
0,0,27,0,20007677
0,0,27,1,10277047
0,0,27,3,6483049
0,0,27,9,3903401
0,0,27,27,2404680
0,0,27,81,1544532
0,0,81,0,11294151
0,0,81,1,5770092
0,0,81,3,3315595
0,0,81,9,1726913
0,0,81,27,967619
0,0,81,81,578714
0,1,0,0,73072
0,1,0,1,6268
0,1,0,3,3357
0,1,0,9,72
0,1,0,27,72
0,1,0,81,0
0,1,1,0,10017
0,1,1,1,378
0,1,1,3,376
0,1,1,9,0
0,1,1,27,0
0,1,1,81,0
0,1,3,0,3684
0,1,3,1,274
0,1,3,3,274
0,1,3,9,0
0,1,3,27,0
0,1,3,81,0
0,1,9,0,757
0,1,9,1,53
0,1,9,3,53
0,1,9,9,0
0,1,9,27,0
0,1,9,81,0
0,1,27,0,69
0,1,27,1,0
0,1,27,3,0
0,1,27,9,0
0,1,27,27,0
0,1,27,81,0
0,1,81,0,0
0,1,81,1,0
0,1,81,3,0
0,1,81,9,0
0,1,81,27,0
0,1,81,81,0
0,2,0,0,9323249
0,2,0,1,1545614
0,2,0,3,932009
0,2,0,9,568408
0,2,0,27,378499
0,2,0,81,236642
0,2,1,0,1741594
0,2,1,1,702844
0,2,1,3,490131
0,2,1,9,335776
0,2,1,27,228370
0,2,1,81,156036
0,2,3,0,1187187
0,2,3,1,519825
0,2,3,3,370996
0,2,3,9,259565
0,2,3,27,177112
0,2,3,81,124138
0,2,9,0,845756
0,2,9,1,375823
0,2,9,3,265590
0,2,9,9,187198
0,2,9,27,127190
0,2,9,81,91666
0,2,27,0,629041
0,2,27,1,280423
0,2,27,3,193106
0,2,27,9,137480
0,2,27,27,92973
0,2,27,81,67388
0,2,81,0,431318
0,2,81,1,201035
0,2,81,3,136508
0,2,81,9,96865
0,2,81,27,66970
0,2,81,81,48154
0,3,0,0,83352539
0,3,0,1,25574219
0,3,0,3,19156170
0,3,0,9,14775733
0,3,0,27,11601025
0,3,0,81,7900990
0,3,1,0,15550723
0,3,1,1,10886564
0,3,1,3,9233897
0,3,1,9,7784089
0,3,1,27,6469211
0,3,1,81,4881574
0,3,3,0,9373687
0,3,3,1,6873690
0,3,3,3,5909113
0,3,3,9,5027727
0,3,3,27,4253614
0,3,3,81,3390989
0,3,9,0,5031797
0,3,9,1,3548286
0,3,9,3,2955143
0,3,9,9,2471691
0,3,9,27,2092787
0,3,9,81,1769820
0,3,27,0,2634432
0,3,27,1,1648987
0,3,27,3,1234954
0,3,27,9,943896
0,3,27,27,755653
0,3,27,81,641996
0,3,81,0,1441193
0,3,81,1,802425
0,3,81,3,517508
0,3,81,9,319943
0,3,81,27,223216
0,3,81,81,174411
1,0,0,0,5779916
1,0,0,1,1562087
1,0,0,3,838188
1,0,0,9,432672
1,0,0,27,247944
1,0,0,81,132613
1,0,1,0,3936630
1,0,1,1,1330296
1,0,1,3,710463
1,0,1,9,358914
1,0,1,27,204782
1,0,1,81,109200
1,0,3,0,3536689
1,0,3,1,1241299
1,0,3,3,656313
1,0,3,9,321268
1,0,3,27,178653
1,0,3,81,94125
1,0,9,0,3122029
1,0,9,1,1135665
1,0,9,3,587983
1,0,9,9,274427
1,0,9,27,145176
1,0,9,81,73279
1,0,27,0,2671559
1,0,27,1,1018845
1,0,27,3,512290
1,0,27,9,228319
1,0,27,27,112137
1,0,27,81,52853
1,0,81,0,2072963
1,0,81,1,873324
1,0,81,3,433121
1,0,81,9,185077
1,0,81,27,83818
1,0,81,81,36274
1,1,0,0,7969
1,1,0,1,745
1,1,0,3,735
1,1,0,9,734
1,1,0,27,734
1,1,0,81,0
1,1,1,0,3677
1,1,1,1,579
1,1,1,3,571
1,1,1,9,570
1,1,1,27,570
1,1,1,81,0
1,1,3,0,2651
1,1,3,1,535
1,1,3,3,527
1,1,3,9,526
1,1,3,27,526
1,1,3,81,0
1,1,9,0,2318
1,1,9,1,341
1,1,9,3,333
1,1,9,9,332
1,1,9,27,332
1,1,9,81,0
1,1,27,0,1722
1,1,27,1,9
1,1,27,3,1
1,1,27,9,0
1,1,27,27,0
1,1,27,81,0
1,1,81,0,1138
1,1,81,1,8
1,1,81,3,1
