argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,3477260735
0,0,0,1,379519791
0,0,0,3,172009869
0,0,0,9,72848366
0,0,0,27,32320567
0,0,0,81,14945415
0,0,1,0,151489294
0,0,1,1,69424242
0,0,1,3,44142471
0,0,1,9,24516907
0,0,1,27,12465812
0,0,1,81,6139145
0,0,3,0,60779128
0,0,3,1,32833083
0,0,3,3,22507539
0,0,3,9,13634319
0,0,3,27,7429583
0,0,3,81,3916112
0,0,9,0,23196552
0,0,9,1,13352047
0,0,9,3,9527036
0,0,9,9,6131526
0,0,9,27,3596353
0,0,9,81,2053615
0,0,27,0,9294782
0,0,27,1,5354778
0,0,27,3,3696173
0,0,27,9,2355390
0,0,27,27,1470333
0,0,27,81,882809
0,0,81,0,3742071
0,0,81,1,2172434
0,0,81,3,1413065
0,0,81,9,819366
0,0,81,27,526093
0,0,81,81,323348
0,1,0,0,24749941
0,1,0,1,6941587
0,1,0,3,3509503
0,1,0,9,1614232
0,1,0,27,805631
0,1,0,81,436865
0,1,1,0,16273055
0,1,1,1,5969113
0,1,1,3,3064630
0,1,1,9,1390808
0,1,1,27,669771
0,1,1,81,358569
0,1,3,0,14487224
0,1,3,1,5535674
0,1,3,3,2837591
0,1,3,9,1281341
0,1,3,27,604447
0,1,3,81,318770
0,1,9,0,12553460
0,1,9,1,5016544
0,1,9,3,2555233
0,1,9,9,1138074
0,1,9,27,518144
0,1,9,81,266192
0,1,27,0,10386258
0,1,27,1,4389115
0,1,27,3,2220562
0,1,27,9,965833
0,1,27,27,417392
0,1,27,81,205623
0,1,81,0,7602005
0,1,81,1,3493790
0,1,81,3,1769407
0,1,81,9,748814
0,1,81,27,313139
0,1,81,81,146107
0,2,0,0,3575185
0,2,0,1,952338
0,2,0,3,617803
0,2,0,9,402150
0,2,0,27,261615
0,2,0,81,172169
0,2,1,0,1690344
0,2,1,1,665938
0,2,1,3,445647
0,2,1,9,307594
0,2,1,27,196006
0,2,1,81,139290
0,2,3,0,1401604
0,2,3,1,579524
0,2,3,3,390300
0,2,3,9,269552
0,2,3,27,169408
0,2,3,81,122296
0,2,9,0,1129997
0,2,9,1,483936
0,2,9,3,321837
0,2,9,9,223502
0,2,9,27,136369
0,2,9,81,99778
0,2,27,0,886933
0,2,27,1,383804
0,2,27,3,250767
0,2,27,9,175653
0,2,27,27,107000
0,2,27,81,76711
0,2,81,0,617727
0,2,81,1,279974
0,2,81,3,180619
0,2,81,9,125938
0,2,81,27,80685
0,2,81,81,57223
0,3,0,0,121049029
0,3,0,1,82616339
0,3,0,3,72186705
0,3,0,9,61762917
0,3,0,27,50104848
0,3,0,81,32541622
0,3,1,0,29092702
0,3,1,1,25847735
0,3,1,3,24195568
0,3,1,9,22089665
0,3,1,27,19121604
0,3,1,81,14117181
0,3,3,0,14661641
0,3,3,1,12902561
0,3,3,3,12034600
0,3,3,9,11065189
0,3,3,27,9747993
0,3,3,81,7683669
0,3,9,0,6400712
0,3,9,1,5391449
0,3,9,3,4882121
0,3,9,9,4444623
0,3,9,27,3937332
0,3,9,81,3273462
0,3,27,0,2703246
0,3,27,1,2078760
0,3,27,3,1743607
0,3,27,9,1487901
0,3,27,27,1258581
0,3,27,81,1088773
0,3,81,0,1204859
0,3,81,1,827354
0,3,81,3,606520
0,3,81,9,449603
0,3,81,27,337888
0,3,81,81,274601
1,0,0,0,2114644
1,0,0,1,418409
1,0,0,3,233716
1,0,0,9,116718
1,0,0,27,67955
1,0,0,81,29868
1,0,1,0,813932
1,0,1,1,266687
1,0,1,3,157313
1,0,1,9,83610
1,0,1,27,51893
1,0,1,81,22619
1,0,3,0,618435
1,0,3,1,218906
1,0,3,3,132576
1,0,3,9,69512
1,0,3,27,42877
1,0,3,81,19138
1,0,9,0,443666
1,0,9,1,169674
1,0,9,3,102376
1,0,9,9,52294
1,0,9,27,30340
1,0,9,81,12212
1,0,27,0,310299
1,0,27,1,124870
1,0,27,3,75025
1,0,27,9,39514
1,0,27,27,21820
1,0,27,81,8645
1,0,81,0,201514
1,0,81,1,86851
1,0,81,3,53443
1,0,81,9,25513
1,0,81,27,13312
1,0,81,81,5223
1,1,0,0,3529407
1,1,0,1,985759
1,1,0,3,454493
1,1,0,9,186107
1,1,0,27,81241
1,1,0,81,36955
1,1,1,0,2994938
1,1,1,1,944395
1,1,1,3,435703
1,1,1,9,177367
1,1,1,27,76912
1,1,1,81,34465
1,1,3,0,2800923
1,1,3,1,921438
1,1,3,3,425104
1,1,3,9,171798
1,1,3,27,72938
1,1,3,81,32335
1,1,9,0,2580039
1,1,9,1,887834
1,1,9,3,408800
1,1,9,9,162177
1,1,9,27,67077
1,1,9,81,29665
1,1,27,0,2287019
1,1,27,1,838449
1,1,27,3,384554
1,1,27,9,148904
1,1,27,27,60715
1,1,27,81,26692
1,1,81,0,1843451
1,1,81,1,758717
1,1,81,3,352625
1,1,81,9,136271
1,1,81,27,54497
1,1,81,81,23131
1,2,0,0,398032
1,2,0,1,112125
1,2,0,3,65513
1,2,0,9,37646
1,2,0,27,21577
1,2,0,81,11174
1,2,1,0,332920
1,2,1,1,106513
1,2,1,3,62265
1,2,1,9,36271
1,2,1,27,20772
1,2,1,81,10706
1,2,3,0,310385
1,2,3,1,101977
1,2,3,3,59071
1,2,3,9,34295
1,2,3,27,19690
1,2,3,81,10181
1,2,9,0,281058
1,2,9,1,95425
1,2,9,3,54356
1,2,9,9,30716
1,2,9,27,17625
1,2,9,81,9354
1,2,27,0,244499
1,2,27,1,86017
1,2,27,3,48391
1,2,27,9,26386
1,2,27,27,15290
1,2,27,81,8099
1,2,81,0,187812
1,2,81,1,71126
1,2,81,3,40288
1,2,81,9,21564
1,2,81,27,11963
1,2,81,81,6875
1,3,0,0,994591
1,3,0,1,525049
1,3,0,3,416169
1,3,0,9,328447
1,3,0,27,259572
1,3,0,81,180220
1,3,1,0,631565
1,3,1,1,385822
1,3,1,3,314532
1,3,1,9,247625
1,3,1,27,202883
1,3,1,81,149694
1,3,3,0,532906
1,3,3,1,325788
1,3,3,3,262424
1,3,3,9,201950
1,3,3,27,166820
1,3,3,81,125298
1,3,9,0,432112
1,3,9,1,258504
1,3,9,3,201063
1,3,9,9,147077
1,3,9,27,120402
1,3,9,81,90807
1,3,27,0,326544
1,3,27,1,186775
1,3,27,3,134162
1,3,27,9,88470
1,3,27,27,67815
1,3,27,81,50137
1,3,81,0,220824
1,3,81,1,125254
1,3,81,3,83170
1,3,81,9,51112
1,3,81,27,35661
1,3,81,81,23913
2,0,0,0,3142236
2,0,0,1,607000
2,0,0,3,326163
2,0,0,9,143688
2,0,0,27,75719
2,0,0,81,39369
2,0,1,0,1030901
2,0,1,1,316855
2,0,1,3,195671
2,0,1,9,111306
2,0,1,27,63429
2,0,1,81,34295
2,0,3,0,740330
2,0,3,1,263401
2,0,3,3,164686
2,0,3,9,98600
2,0,3,27,57156
2,0,3,81,31693
2,0,9,0,527330
2,0,9,1,210326
2,0,9,3,133478
2,0,9,9,80795
2,0,9,27,47643
2,0,9,81,27370
2,0,27,0,375843
2,0,27,1,167456
2,0,27,3,108182
2,0,27,9,65466
2,0,27,27,38854
2,0,27,81,23199
2,0,81,0,251830
2,0,81,1,124248
2,0,81,3,83594
2,0,81,9,53159
2,0,81,27,32265
2,0,81,81,19253
2,1,0,0,700238
2,1,0,1,187689
2,1,0,3,99870
2,1,0,9,49362
2,1,0,27,28030
2,1,0,81,15378
2,1,1,0,540202
2,1,1,1,163642
2,1,1,3,86652
2,1,1,9,42804
2,1,1,27,23754
2,1,1,81,13200
2,1,3,0,486855
2,1,3,1,153117
2,1,3,3,80295
2,1,3,9,39333
2,1,3,27,21528
2,1,3,81,12209
2,1,9,0,423373
2,1,9,1,138893
2,1,9,3,71729
2,1,9,9,34713
2,1,9,27,18563
2,1,9,81,10715
2,1,27,0,351529
2,1,27,1,121160
2,1,27,3,61822
2,1,27,9,28995
2,1,27,27,15125
2,1,27,81,8493
2,1,81,0,256807
2,1,81,1,94591
2,1,81,3,47729
2,1,81,9,21192
2,1,81,27,10730
2,1,81,81,5515
2,2,0,0,29665222
2,2,0,1,8175891
2,2,0,3,4207183
2,2,0,9,2068711
2,2,0,27,1135299
2,2,0,81,651376
2,2,1,0,25291599
2,2,1,1,7915241
2,2,1,3,4077432
2,2,1,9,2006104
2,2,1,27,1090001
2,2,1,81,621444
2,2,3,0,23853122
2,2,3,1,7770269
2,2,3,3,4005517
2,2,3,9,1965792
2,2,3,27,1058971
2,2,3,81,600175
2,2,9,0,22103546
2,2,9,1,7528345
2,2,9,3,3888940
2,2,9,9,1901561
2,2,9,27,1015912
2,2,9,81,571510
2,2,27,0,19862175
2,2,27,1,7141980
2,2,27,3,3703788
2,2,27,9,1807770
2,2,27,27,962309
2,2,27,81,538072
2,2,81,0,16170705
2,2,81,1,6256122
2,2,81,3,3279674
2,2,81,9,1611145
2,2,81,27,847521
2,2,81,81,468714
2,3,0,0,2148545
2,3,0,1,1087338
2,3,0,3,804346
2,3,0,9,604589
2,3,0,27,470761
2,3,0,81,346757
2,3,1,0,1682469
2,3,1,1,895672
2,3,1,3,651399
2,3,1,9,483841
2,3,1,27,376432
2,3,1,81,286745
2,3,3,0,1497994
2,3,3,1,798834
2,3,3,3,564612
2,3,3,9,405719
2,3,3,27,310754
2,3,3,81,237079
2,3,9,0,1286722
2,3,9,1,676847
2,3,9,3,456408
2,3,9,9,306504
2,3,9,27,222827
2,3,9,81,166967
2,3,27,0,1077823
2,3,27,1,562453
2,3,27,3,356530
2,3,27,9,217320
2,3,27,27,141657
2,3,27,81,97818
2,3,81,0,825682
2,3,81,1,447786
2,3,81,3,276098
2,3,81,9,156678
2,3,81,27,89731
2,3,81,81,55353
3,0,0,0,147108565
3,0,0,1,77314619
3,0,0,3,59597587
3,0,0,9,43406512
3,0,0,27,27985838
3,0,0,81,17402565
3,0,1,0,17337905
3,0,1,1,14745779
3,0,1,3,13114796
3,0,1,9,11222119
3,0,1,27,8902809
3,0,1,81,6561978
3,0,3,0,7749342
3,0,3,1,6786988
3,0,3,3,6160571
3,0,3,9,5414515
3,0,3,27,4530423
3,0,3,81,3608483
3,0,9,0,3003433
3,0,9,1,2605623
3,0,9,3,2360219
3,0,9,9,2088943
3,0,9,27,1808027
3,0,9,81,1545140
3,0,27,0,1050138
3,0,27,1,886812
3,0,27,3,760744
3,0,27,9,653596
3,0,27,27,545783
3,0,27,81,474440
3,0,81,0,354165
3,0,81,1,282927
3,0,81,3,230289
3,0,81,9,185866
3,0,81,27,139882
3,0,81,81,117675
3,1,0,0,3436442
3,1,0,1,2281386
3,1,0,3,1831677
3,1,0,9,1454264
3,1,0,27,1167407
3,1,0,81,923614
3,1,1,0,2468024
3,1,1,1,1875711
3,1,1,3,1533722
3,1,1,9,1230230
3,1,1,27,1011005
3,1,1,81,815337
3,1,3,0,2163306
3,1,3,1,1649090
3,1,3,3,1337035
3,1,3,9,1059814
3,1,3,27,873997
3,1,3,81,717680
3,1,9,0,1738704
3,1,9,1,1309999
3,1,9,3,1030826
3,1,9,9,785064
3,1,9,27,634221
3,1,9,81,521781
3,1,27,0,1289189
3,1,27,1,952541
3,1,27,3,706632
3,1,27,9,493736
3,1,27,27,368504
3,1,27,81,284580
3,1,81,0,916916
3,1,81,1,672600
3,1,81,3,483198
3,1,81,9,314915
3,1,81,27,215392
3,1,81,81,151064
3,2,0,0,3241079
3,2,0,1,2509345
3,2,0,3,2267199
3,2,0,9,2028250
3,2,0,27,1776994
3,2,0,81,1451968
3,2,1,0,1965488
3,2,1,1,1696231
3,2,1,3,1566209
3,2,1,9,1437610
3,2,1,27,1286619
3,2,1,81,1098606
3,2,3,0,1529935
3,2,3,1,1313650
3,2,3,3,1208721
3,2,3,9,1106710
3,2,3,27,992165
3,2,3,81,861850
3,2,9,0,1055894
3,2,9,1,882878
3,2,9,3,796773
3,2,9,9,714059
3,2,9,27,632578
3,2,9,81,556139
3,2,27,0,654588
3,2,27,1,513981
3,2,27,3,443434
3,2,27,9,374218
3,2,27,27,318857
3,2,27,81,277946
3,2,81,0,398588
3,2,81,1,292603
3,2,81,3,243634
3,2,81,9,197478
3,2,81,27,158143
3,2,81,81,133241
3,3,0,0,730373836
3,3,0,1,631229623
3,3,0,3,588774945
3,3,0,9,538171720
3,3,0,27,474786401
3,3,0,81,364132695
3,3,1,0,209049600
3,3,1,1,206920352
3,3,1,3,204621665
3,3,1,9,199778528
3,3,1,27,189952777
3,3,1,81,163682827
3,3,3,0,109435763
3,3,3,1,108932500
3,3,3,3,108326392
3,3,3,9,107005829
3,3,3,27,103821016
3,3,3,81,93662330
3,3,9,0,44393029
3,3,9,1,44229011
3,3,9,3,44051334
3,3,9,9,43739147
3,3,9,27,43033001
3,3,9,81,40471332
3,3,27,0,12602512
3,3,27,1,12516107
3,3,27,3,12419395
3,3,27,9,12315908
3,3,27,27,12164960
3,3,27,81,11717781
3,3,81,0,2569484
3,3,81,1,2521007
3,3,81,3,2470776
3,3,81,9,2418640
3,3,81,27,2365223
3,3,81,81,2291141
