argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,3157058209
0,0,0,1,920880891
0,0,0,3,390208520
0,0,0,9,169790274
0,0,0,27,78476402
0,0,0,81,31922468
0,0,1,0,475562145
0,0,1,1,311092445
0,0,1,3,208078351
0,0,1,9,120749695
0,0,1,27,60352437
0,0,1,81,24466588
0,0,3,0,232452796
0,0,3,1,181140460
0,0,3,3,138348182
0,0,3,9,90640940
0,0,3,27,49146014
0,0,3,81,20792388
0,0,9,0,89549102
0,0,9,1,75517222
0,0,9,3,62782096
0,0,9,9,46672560
0,0,9,27,29140241
0,0,9,81,13933188
0,0,27,0,25085304
0,0,27,1,21059937
0,0,27,3,17472734
0,0,27,9,13130175
0,0,27,27,8940651
0,0,27,81,5026458
0,0,81,0,7000485
0,0,81,1,5601773
0,0,81,3,4327034
0,0,81,9,2673073
0,0,81,27,1619983
0,0,81,81,870541
0,1,0,0,14135334
0,1,0,1,8437204
0,1,0,3,4911299
0,1,0,9,2262587
0,1,0,27,1039874
0,1,0,81,470199
0,1,1,0,11800934
0,1,1,1,7483122
0,1,1,3,4490671
0,1,1,9,2099670
0,1,1,27,966755
0,1,1,81,431938
0,1,3,0,10877540
0,1,3,1,7039858
0,1,3,3,4280898
0,1,3,9,2011883
0,1,3,27,924144
0,1,3,81,409713
0,1,9,0,9652484
0,1,9,1,6423814
0,1,9,3,3970017
0,1,9,9,1873986
0,1,9,27,852811
0,1,9,81,372026
0,1,27,0,8170952
0,1,27,1,5635700
0,1,27,3,3553753
0,1,27,9,1688145
0,1,27,27,755094
0,1,27,81,315994
0,1,81,0,6250764
0,1,81,1,4527296
0,1,81,3,2918229
0,1,81,9,1396047
0,1,81,27,603156
0,1,81,81,234696
0,2,0,0,3525891
0,2,0,1,2033163
0,2,0,3,1337409
0,2,0,9,849176
0,2,0,27,570420
0,2,0,81,380499
0,2,1,0,2700831
0,2,1,1,1770761
0,2,1,3,1225017
0,2,1,9,796961
0,2,1,27,540493
0,2,1,81,363556
0,2,3,0,2440461
0,2,3,1,1645958
0,2,3,3,1152246
0,2,3,9,754720
0,2,3,27,518348
0,2,3,81,351477
0,2,9,0,2108356
0,2,9,1,1455839
0,2,9,3,1017907
0,2,9,9,655599
0,2,9,27,444306
0,2,9,81,304370
0,2,27,0,1697271
0,2,27,1,1183499
0,2,27,3,802717
0,2,27,9,477024
0,2,27,27,288158
0,2,27,81,184530
0,2,81,0,1260277
0,2,81,1,910357
0,2,81,3,606021
0,2,81,9,329586
0,2,81,27,168047
0,2,81,81,87885
0,3,0,0,472005649
0,3,0,1,422426790
0,3,0,3,394166545
0,3,0,9,355286010
0,3,0,27,299956778
0,3,0,81,216969421
0,3,1,0,368311801
0,3,1,1,355675677
0,3,1,3,344120249
0,3,1,9,321504578
0,3,1,27,280193735
0,3,1,81,206776238
0,3,3,0,304069366
0,3,3,1,297479354
0,3,3,3,291687182
0,3,3,9,278925514
0,3,3,27,251902223
0,3,3,81,192142161
0,3,9,0,192855851
0,3,9,1,189872704
0,3,9,3,187507713
0,3,9,9,182566310
0,3,9,27,172620490
0,3,9,81,142291389
0,3,27,0,59771068
0,3,27,1,58778803
0,3,27,3,57995731
0,3,27,9,56659251
0,3,27,27,54792370
0,3,27,81,49096745
0,3,81,0,5880197
0,3,81,1,5497372
0,3,81,3,5173820
0,3,81,9,4786897
0,3,81,27,4446077
0,3,81,81,4081430
1,0,0,0,100047
1,0,0,1,5080
1,0,0,3,4079
1,0,0,9,1363
1,0,0,27,1188
1,0,0,81,1
1,0,1,0,27958
1,0,1,1,2765
1,0,1,3,1980
1,0,1,9,604
1,0,1,27,429
1,0,1,81,1
1,0,3,0,18121
1,0,3,1,2548
1,0,3,3,1764
1,0,3,9,409
1,0,3,27,234
1,0,3,81,1
1,0,9,0,10656
1,0,9,1,2189
1,0,9,3,1468
1,0,9,9,176
1,0,9,27,1
1,0,9,81,1
1,0,27,0,4617
1,0,27,1,1242
1,0,27,3,567
1,0,27,9,79
1,0,27,27,1
1,0,27,81,1
1,0,81,0,1747
1,0,81,1,87
1,0,81,3,58
1,0,81,9,1
1,0,81,27,1
1,0,81,81,1
1,1,0,0,2732
1,1,0,1,1007
1,1,0,3,582
1,1,0,9,582
1,1,0,27,582
1,1,0,81,0
1,1,1,0,1092
1,1,1,1,852
1,1,1,3,427
1,1,1,9,427
1,1,1,27,427
1,1,1,81,0
1,1,3,0,658
1,1,3,1,649
1,1,3,3,224
1,1,3,9,224
1,1,3,27,224
1,1,3,81,0
1,1,9,0,425
1,1,9,1,425
1,1,9,3,0
1,1,9,9,0
1,1,9,27,0
1,1,9,81,0
1,1,27,0,351
1,1,27,1,351
1,1,27,3,0
1,1,27,9,0
1,1,27,27,0
1,1,27,81,0
1,1,81,0,60
1,1,81,1,60
1,1,81,3,0
1,1,81,9,0
1,1,81,27,0
1,1,81,81,0
1,2,0,0,1332
1,2,0,1,366
1,2,0,3,222
1,2,0,9,222
1,2,0,27,196
1,2,0,81,78
1,2,1,0,1043
1,2,1,1,361
1,2,1,3,217
1,2,1,9,217
1,2,1,27,191
1,2,1,81,78
1,2,3,0,962
1,2,3,1,333
1,2,3,3,189
1,2,3,9,189
1,2,3,27,163
1,2,3,81,78
1,2,9,0,878
1,2,9,1,314
1,2,9,3,170
1,2,9,9,170
1,2,9,27,144
1,2,9,81,77
1,2,27,0,690
1,2,27,1,288
1,2,27,3,144
1,2,27,9,144
1,2,27,27,144
1,2,27,81,77
1,2,81,0,106
1,2,81,1,37
1,2,81,3,0
1,2,81,9,0
1,2,81,27,0
1,2,81,81,0
1,3,0,0,57982
1,3,0,1,8207
1,3,0,3,5546
1,3,0,9,3846
1,3,0,27,2528
1,3,0,81,1566
1,3,1,0,26776
1,3,1,1,7087
1,3,1,3,4547
1,3,1,9,2853
1,3,1,27,1935
1,3,1,81,1093
1,3,3,0,19080
1,3,3,1,5929
1,3,3,3,3935
1,3,3,9,2268
