argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,3199513942
0,0,0,1,952014166
0,0,0,3,420061080
0,0,0,9,199528374
0,0,0,27,109973590
0,0,0,81,60240296
0,0,1,0,511055741
0,0,1,1,343460546
0,0,1,3,239023712
0,0,1,9,150206448
0,0,1,27,91058545
0,0,1,81,51739613
0,0,3,0,270261869
0,0,3,1,215765708
0,0,3,3,170836917
0,0,3,9,120452111
0,0,3,27,78927735
0,0,3,81,46835573
0,0,9,0,123624473
0,0,9,1,106662282
0,0,9,3,91597349
0,0,9,9,72491339
0,0,9,27,53549556
0,0,9,81,35260932
0,0,27,0,43492932
0,0,27,1,37029444
0,0,27,3,31371625
0,0,27,9,24914079
0,0,27,27,19424333
0,0,27,81,14144300
0,0,81,0,14367057
0,0,81,1,11250492
0,0,81,3,8327249
0,0,81,9,5126384
0,0,81,27,3138924
0,0,81,81,1964270
0,1,0,0,145991
0,1,0,1,9298
0,1,0,3,6337
0,1,0,9,2092
0,1,0,27,731
0,1,0,81,121
0,1,1,0,46465
0,1,1,1,6767
0,1,1,3,4143
0,1,1,9,1244
0,1,1,27,283
0,1,1,81,84
0,1,3,0,29904
0,1,3,1,5792
0,1,3,3,3715
0,1,3,9,864
0,1,3,27,107
0,1,3,81,37
0,1,9,0,16292
0,1,9,1,4090
0,1,9,3,2890
0,1,9,9,305
0,1,9,27,20
0,1,9,81,20
0,1,27,0,4562
0,1,27,1,1298
0,1,27,3,1154
0,1,27,9,96
0,1,27,27,18
0,1,27,81,18
0,1,81,0,1691
0,1,81,1,116
0,1,81,3,59
0,1,81,9,0
0,1,81,27,0
0,1,81,81,0
0,2,0,0,36645617
0,2,0,1,10076067
0,2,0,3,4644054
0,2,0,9,2473103
0,2,0,27,1435535
0,2,0,81,862163
0,2,1,0,8789765
0,2,1,1,4639663
0,2,1,3,3017312
0,2,1,9,1905708
0,2,1,27,1160170
0,2,1,81,706040
0,2,3,0,4740047
0,2,3,1,3155312
0,2,3,3,2290403
0,2,3,9,1575149
0,2,3,27,1011480
0,2,3,81,627119
0,2,9,0,2474404
0,2,9,1,1850245
0,2,9,3,1423716
0,2,9,9,1059331
0,2,9,27,745762
0,2,9,81,486348
0,2,27,0,1296637
0,2,27,1,980991
0,2,27,3,735890
0,2,27,9,548382
0,2,27,27,400793
0,2,27,81,278305
0,2,81,0,712923
0,2,81,1,541646
0,2,81,3,388691
0,2,81,9,272182
0,2,81,27,198081
0,2,81,81,132878
0,3,0,0,425466605
0,3,0,1,136902964
0,3,0,3,73533750
0,3,0,9,45417821
0,3,0,27,29981507
0,3,0,81,19246962
0,3,1,0,89798852
0,3,1,1,64670706
0,3,1,3,49489654
0,3,1,9,35868094
0,3,1,27,24893011
0,3,1,81,16207288
0,3,3,0,54252822
