argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,3467530754
0,0,0,1,955083741
0,0,0,3,376648713
0,0,0,9,146047395
0,0,0,27,60326406
0,0,0,81,24339995
0,0,1,0,479261262
0,0,1,1,297117545
0,0,1,3,186906426
0,0,1,9,97228574
0,0,1,27,42584862
0,0,1,81,16245586
0,0,3,0,222183205
0,0,3,1,166275282
0,0,3,3,120688306
0,0,3,9,71568020
0,0,3,27,34079583
0,0,3,81,13359177
0,0,9,0,82243465
0,0,9,1,67359022
0,0,9,3,53888163
0,0,9,9,36965851
0,0,9,27,20688269
0,0,9,81,9124371
0,0,27,0,24315307
0,0,27,1,19966377
0,0,27,3,16065977
0,0,27,9,11375360
0,0,27,27,7084898
0,0,27,81,3640395
0,0,81,0,7725607
0,0,81,1,6103379
0,0,81,3,4626735
0,0,81,9,2818950
0,0,81,27,1590496
0,0,81,81,812757
0,1,0,0,15391668
0,1,0,1,9287605
0,1,0,3,5434894
0,1,0,9,2485722
0,1,0,27,1083928
0,1,0,81,463208
0,1,1,0,12777870
0,1,1,1,8240214
0,1,1,3,4982394
0,1,1,9,2314840
0,1,1,27,1009376
0,1,1,81,424470
0,1,3,0,11809428
0,1,3,1,7772604
0,1,3,3,4758172
0,1,3,9,2223231
0,1,3,27,968809
0,1,3,81,403769
0,1,9,0,10536180
0,1,9,1,7119648
0,1,9,3,4423940
0,1,9,9,2077262
0,1,9,27,899008
0,1,9,81,367797
0,1,27,0,8996876
0,1,27,1,6286649
0,1,27,3,3986317
0,1,27,9,1886033
0,1,27,27,804420
0,1,27,81,318400
0,1,81,0,6983287
0,1,81,1,5105012
0,1,81,3,3315844
0,1,81,9,1586721
0,1,81,27,662079
0,1,81,81,250629
0,2,0,0,4418133
0,2,0,1,2223679
0,2,0,3,1339060
0,2,0,9,806727
0,2,0,27,514320
0,2,0,81,329451
0,2,1,0,2646448
0,2,1,1,1719698
0,2,1,3,1154471
0,2,1,9,732863
0,2,1,27,473372
0,2,1,81,302966
0,2,3,0,2222254
0,2,3,1,1526352
0,2,3,3,1054451
0,2,3,9,681717
0,2,3,27,447961
0,2,3,81,288776
0,2,9,0,1760939
0,2,9,1,1264167
0,2,9,3,882246
0,2,9,9,580613
0,2,9,27,391824
0,2,9,81,255344
0,2,27,0,1324753
0,2,27,1,972757
0,2,27,3,676016
0,2,27,9,445295
0,2,27,27,302246
0,2,27,81,198410
0,2,81,0,915582
0,2,81,1,688783
0,2,81,3,478691
0,2,81,9,304910
0,2,81,27,205320
0,2,81,81,132065
0,3,0,0,174431600
0,3,0,1,132407470
0,3,0,3,114822554
0,3,0,9,98081546
0,3,0,27,79466709
0,3,0,81,55216888
0,3,1,0,115005243
0,3,1,1,105700225
0,3,1,3,98491530
0,3,1,9,87705217
0,3,1,27,73044399
0,3,1,81,51680003
0,3,3,0,93069755
0,3,3,1,88164645
