argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,511582411
0,0,0,1,103670773
0,0,0,3,55436843
0,0,0,9,32013014
0,0,0,27,21099167
0,0,0,81,14550982
0,0,1,0,95652803
0,0,1,1,33229730
0,0,1,3,22300112
0,0,1,9,15271798
0,0,1,27,11516806
0,0,1,81,8385858
0,0,3,0,51929488
0,0,3,1,19780468
0,0,3,3,14089878
0,0,3,9,10185951
0,0,3,27,8009615
0,0,3,81,6050812
0,0,9,0,24822321
0,0,9,1,9182190
0,0,9,3,6566552
0,0,9,9,4752466
0,0,9,27,3752177
0,0,9,81,2886566
0,0,27,0,13284160
0,0,27,1,4266246
0,0,27,3,2889492
0,0,27,9,1999759
0,0,27,27,1532187
0,0,27,81,1126641
0,0,81,0,8006802
0,0,81,1,2232448
0,0,81,3,1366773
0,0,81,9,844893
0,0,81,27,614836
0,0,81,81,433970
0,1,0,0,8453803
0,1,0,1,2177939
0,1,0,3,1320550
0,1,0,9,846960
0,1,0,27,630121
0,1,0,81,465581
0,1,1,0,7101450
0,1,1,1,1834483
0,1,1,3,1100482
0,1,1,9,705390
0,1,1,27,537670
0,1,1,81,399422
0,1,3,0,6529527
0,1,3,1,1675475
0,1,3,3,992359
0,1,3,9,627968
0,1,3,27,476855
0,1,3,81,355768
0,1,9,0,5840259
0,1,9,1,1460263
0,1,9,3,842267
0,1,9,9,515775
0,1,9,27,384637
0,1,9,81,283197
0,1,27,0,5084347
0,1,27,1,1232825
0,1,27,3,682963
0,1,27,9,399245
0,1,27,27,288739
0,1,27,81,204273
0,1,81,0,4069505
0,1,81,1,972810
0,1,81,3,514617
0,1,81,9,278815
0,1,81,27,185639
0,1,81,81,125216
0,2,0,0,3124439
0,2,0,1,1050969
0,2,0,3,700131
0,2,0,9,522264
0,2,0,27,400783
0,2,0,81,281670
0,2,1,0,1795748
0,2,1,1,655986
0,2,1,3,465491
0,2,1,9,355283
0,2,1,27,277697
0,2,1,81,193161
0,2,3,0,1353226
0,2,3,1,499530
0,2,3,3,362052
0,2,3,9,276548
0,2,3,27,221556
0,2,3,81,156821
0,2,9,0,1017327
0,2,9,1,365760
0,2,9,3,261624
0,2,9,9,193508
0,2,9,27,151621
0,2,9,81,110239
0,2,27,0,791134
0,2,27,1,267511
0,2,27,3,182258
0,2,27,9,124395
0,2,27,27,93594
0,2,27,81,70992
0,2,81,0,589879
0,2,81,1,189332
0,2,81,3,125088
0,2,81,9,79690
0,2,81,27,56988
0,2,81,81,42637
0,3,0,0,59601137
0,3,0,1,36220459
0,3,0,3,32359069
0,3,0,9,29068805
0,3,0,27,25550168
0,3,0,81,19930430
0,3,1,0,31361987
0,3,1,1,23094066
0,3,1,3,21390238
0,3,1,9,19954086
0,3,1,27,18396210
0,3,1,81,14973085
0,3,3,0,20958910
0,3,3,1,15497123
0,3,3,3,14364446
0,3,3,9,13457561
0,3,3,27,12661770
0,3,3,81,10688728
0,3,9,0,9420068
0,3,9,1,6584755
0,3,9,3,5972505
0,3,9,9,5496786
0,3,9,27,5209738
0,3,9,81,4574094
0,3,27,0,4087547
0,3,27,1,2376146
0,3,27,3,2004734
0,3,27,9,1743085
0,3,27,27,1631405
0,3,27,81,1433590
0,3,81,0,2161378
0,3,81,1,1015305
0,3,81,3,745558
0,3,81,9,573683
0,3,81,27,515752
0,3,81,81,440685
1,0,0,0,1404725
1,0,0,1,164247
1,0,0,3,123171
1,0,0,9,91381
1,0,0,27,66010
1,0,0,81,48805
1,0,1,0,791478
1,0,1,1,128490
1,0,1,3,97482
1,0,1,9,75292
1,0,1,27,57849
1,0,1,81,43114
