argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,552177911
0,0,0,1,118272201
0,0,0,3,66202746
0,0,0,9,40320864
0,0,0,27,27405831
0,0,0,81,18528428
0,0,1,0,117845652
0,0,1,1,42576083
0,0,1,3,29434244
0,0,1,9,21082284
0,0,1,27,16306404
0,0,1,81,11723839
0,0,3,0,68144722
0,0,3,1,26199180
0,0,3,3,18836884
0,0,3,9,13934014
0,0,3,27,11134690
0,0,3,81,8337265
0,0,9,0,35105788
0,0,9,1,12554218
0,0,9,3,8794024
0,0,9,9,6300573
0,0,9,27,4986249
0,0,9,81,3810105
0,0,27,0,20667000
0,0,27,1,6259984
0,0,27,3,4015565
0,0,27,9,2647111
0,0,27,27,1990518
0,0,27,81,1434421
0,0,81,0,13593276
0,0,81,1,3700491
0,0,81,3,2150306
0,0,81,9,1264655
0,0,81,27,899256
0,0,81,81,627973
0,1,0,0,2320618
0,1,0,1,223788
0,1,0,3,152173
0,1,0,9,98517
0,1,0,27,58101
0,1,0,81,39073
0,1,1,0,1352527
0,1,1,1,167799
0,1,1,3,114622
0,1,1,9,75685
0,1,1,27,49842
0,1,1,81,33739
0,1,3,0,900394
0,1,3,1,121727
0,1,3,3,83999
0,1,3,9,55340
0,1,3,27,38160
0,1,3,81,26230
0,1,9,0,433678
0,1,9,1,71143
0,1,9,3,51651
0,1,9,9,35343
0,1,9,27,26096
0,1,9,81,18291
0,1,27,0,166690
0,1,27,1,35358
0,1,27,3,25909
0,1,27,9,19117
0,1,27,27,15668
0,1,27,81,10442
0,1,81,0,55489
0,1,81,1,10280
0,1,81,3,7886
0,1,81,9,5346
0,1,81,27,4255
0,1,81,81,2801
0,2,0,0,9547150
0,2,0,1,2891938
0,2,0,3,1795018
0,2,0,9,1161162
0,2,0,27,842598
0,2,0,81,574882
0,2,1,0,5869562
0,2,1,1,1909432
0,2,1,3,1271470
0,2,1,9,866199
0,2,1,27,657631
0,2,1,81,449832
0,2,3,0,4424564
0,2,3,1,1415745
0,2,3,3,968865
0,2,3,9,662356
0,2,3,27,512638
0,2,3,81,352629
0,2,9,0,3083894
0,2,9,1,909680
0,2,9,3,611131
0,2,9,9,407374
0,2,9,27,312598
0,2,9,81,209434
0,2,27,0,2164334
0,2,27,1,578613
0,2,27,3,368289
0,2,27,9,229039
0,2,27,27,166774
0,2,27,81,106392
0,2,81,0,1352040
0,2,81,1,349185
0,2,81,3,217485
0,2,81,9,129948
0,2,81,27,89268
0,2,81,81,57496
0,3,0,0,53812959
0,3,0,1,28670896
0,3,0,3,23507832
0,3,0,9,19310918
0,3,0,27,15764655
0,3,0,81,11157848
0,3,1,0,25340032
0,3,1,1,16481170
0,3,1,3,14757764
0,3,1,9,13176317
0,3,1,27,11527284
0,3,1,81,8592820
0,3,3,0,16326684
0,3,3,1,10832563
0,3,3,3,9823284
0,3,3,9,8917170
0,3,3,27,8011006
0,3,3,81,6266359
0,3,9,0,8028435
0,3,9,1,5133068
0,3,9,3,4598309
0,3,9,9,4168919
0,3,9,27,3781331
0,3,9,81,3116723
0,3,27,0,3658775
0,3,27,1,2026639
0,3,27,3,1715887
0,3,27,9,1516556
0,3,27,27,1360388
0,3,27,81,1161226
0,3,81,0,1810077
0,3,81,1,777126
0,3,81,3,566914
0,3,81,9,451596
0,3,81,27,378326
0,3,81,81,326840
1,0,0,0,339497
1,0,0,1,88997
1,0,0,3,48571
1,0,0,9,24338
1,0,0,27,12872
1,0,0,81,7848
1,0,1,0,329497
1,0,1,1,88056
1,0,1,3,47994
1,0,1,9,24006
1,0,1,27,12829
1,0,1,81,7814
1,0,3,0,324150
1,0,3,1,87112
1,0,3,3,47400
1,0,3,9,23563
1,0,3,27,12565
1,0,3,81,7671
1,0,9,0,315261
1,0,9,1,85200
1,0,9,3,45923
1,0,9,9,22546
1,0,9,27,11887
1,0,9,81,7227
1,0,27,0,299556
1,0,27,1,82379
1,0,27,3,43933
1,0,27,9,21116
1,0,27,27,10814
1,0,27,81,6452
1,0,81,0,272363
1,0,81,1,77287
1,0,81,3,40415
1,0,81,9,18782
1,0,81,27,9310
1,0,81,81,5345
1,1,0,0,1741
1,1,0,1,306
1,1,0,3,241
1,1,0,9,190
1,1,0,27,118
1,1,0,81,3
1,1,1,0,1657
1,1,1,1,305
1,1,1,3,240
1,1,1,9,189
1,1,1,27,117
1,1,1,81,3
1,1,3,0,1479
1,1,3,1,283
1,1,3,3,218
1,1,3,9,167
1,1,3,27,95
1,1,3,81,3
1,1,9,0,1349
1,1,9,1,234
1,1,9,3,173
1,1,9,9,123
1,1,9,27,86
1,1,9,81,3
1,1,27,0,1108
1,1,27,1,90
1,1,27,3,69
1,1,27,9,60
1,1,27,27,23
1,1,27,81,3
1,1,81,0,701
1,1,81,1,60
1,1,81,3,49
1,1,81,9,40
1,1,81,27,3
1,1,81,81,3
1,2,0,0,44485
1,2,0,1,8985
1,2,0,3,4951
1,2,0,9,3117
1,2,0,27,1547
1,2,0,81,1060
1,2,1,0,42916
1,2,1,1,8744
1,2,1,3,4722
1,2,1,9,3060
1,2,1,27,1547
1,2,1,81,1060
1,2,3,0,41682
1,2,3,1,8657
1,2,3,3,4696
1,2,3,9,3054
1,2,3,27,1541
1,2,3,81,1054
1,2,9,0,39918
1,2,9,1,8360
1,2,9,3,4403
1,2,9,9,2811
1,2,9,27,1358
1,2,9,81,904
1,2,27,0,36705
1,2,27,1,8030
1,2,27,3,4307
1,2,27,9,2715
1,2,27,27,1294
1,2,27,81,858
1,2,81,0,31359
1,2,81,1,7350
1,2,81,3,4007
1,2,81,9,2484
1,2,81,27,1122
1,2,81,81,710
1,3,0,0,60154
1,3,0,1,19795
1,3,0,3,11705
1,3,0,9,7157
1,3,0,27,4049
1,3,0,81,3293
1,3,1,0,58868
1,3,1,1,19383
1,3,1,3,11318
1,3,1,9,6936
1,3,1,27,3899
1,3,1,81,3145
1,3,3,0,57512
1,3,3,1,19034
1,3,3,3,11027
1,3,3,9,6705
1,3,3,27,3811
1,3,3,81,3083
1,3,9,0,54951
1,3,9,1,18379
1,3,9,3,10531
1,3,9,9,6316
1,3,9,27,3530
1,3,9,81,2827
1,3,27,0,51123
1,3,27,1,17285
1,3,27,3,9936
1,3,27,9,5835
1,3,27,27,3081
1,3,27,81,2379
1,3,81,0,45236
1,3,81,1,15497
1,3,81,3,8664
1,3,81,9,5225
1,3,81,27,2569
1,3,81,81,1974
2,0,0,0,907894
2,0,0,1,283346
2,0,0,3,192931
2,0,0,9,127939
2,0,0,27,99569
2,0,0,81,67216
2,0,1,0,684853
2,0,1,1,235553
2,0,1,3,163723
2,0,1,9,112427
2,0,1,27,87002
2,0,1,81,59150
2,0,3,0,603062
2,0,3,1,210233
2,0,3,3,146253
2,0,3,9,98898
2,0,3,27,75370
2,0,3,81,52026
2,0,9,0,515742
2,0,9,1,181325
2,0,9,3,123174
2,0,9,9,79916
2,0,9,27,58606
2,0,9,81,41717
2,0,27,0,444639
2,0,27,1,155645
2,0,27,3,102702
2,0,27,9,62986
2,0,27,27,43944
2,0,27,81,31716
2,0,81,0,356658
2,0,81,1,124494
2,0,81,3,81096
2,0,81,9,47433
2,0,81,27,31837
2,0,81,81,23147
2,1,0,0,26340
2,1,0,1,2974
2,1,0,3,2213
2,1,0,9,1620
2,1,0,27,1362
2,1,0,81,901
2,1,1,0,21367
2,1,1,1,2340
2,1,1,3,1638
2,1,1,9,1180
2,1,1,27,994
2,1,1,81,728
2,1,3,0,18303
2,1,3,1,2176
2,1,3,3,1479
2,1,3,9,1052
2,1,3,27,917
2,1,3,81,689
2,1,9,0,14546
2,1,9,1,1835
2,1,9,3,1182
2,1,9,9,864
2,1,9,27,838
2,1,9,81,673
2,1,27,0,11957
2,1,27,1,1503
2,1,27,3,952
2,1,27,9,662
2,1,27,27,640
2,1,27,81,556
2,1,81,0,8564
2,1,81,1,1351
2,1,81,3,882
2,1,81,9,601
2,1,81,27,580
2,1,81,81,499
2,2,0,0,10134449
2,2,0,1,1849256
2,2,0,3,938027
2,2,0,9,439735
2,2,0,27,255748
2,2,0,81,146302
2,2,1,0,9592110
2,2,1,1,1762067
2,2,1,3,895981
2,2,1,9,418693
2,2,1,27,242881
2,2,1,81,135897
2,2,3,0,9232462
2,2,3,1,1703581
2,2,3,3,864857
2,2,3,9,403638
2,2,3,27,233214
2,2,3,81,129447
2,2,9,0,8694543
2,2,9,1,1620053
2,2,9,3,819741
2,2,9,9,383835
2,2,9,27,220302
2,2,9,81,121647
2,2,27,0,7872776
2,2,27,1,1508506
2,2,27,3,757804
2,2,27,9,354378
2,2,27,27,201102
2,2,27,81,109155
2,2,81,0,6304879
2,2,81,1,1287612
2,2,81,3,655795
2,2,81,9,298749
2,2,81,27,163966
2,2,81,81,89615
2,3,0,0,1277438
2,3,0,1,576113
2,3,0,3,443577
2,3,0,9,355928
2,3,0,27,293527
2,3,0,81,214886
2,3,1,0,1040488
2,3,1,1,446368
2,3,1,3,343479
2,3,1,9,274770
2,3,1,27,236483
2,3,1,81,179081
2,3,3,0,907811
2,3,3,1,364608
2,3,3,3,270528
2,3,3,9,207711
2,3,3,27,179500
2,3,3,81,138983
2,3,9,0,755867
2,3,9,1,270882
2,3,9,3,185076
2,3,9,9,129701
2,3,9,27,108468
2,3,9,81,83679
2,3,27,0,641637
2,3,27,1,209148
2,3,27,3,128704
2,3,27,9,77568
2,3,27,27,59683
2,3,27,81,42994
2,3,81,0,516011
2,3,81,1,164893
2,3,81,3,92968
2,3,81,9,47901
2,3,81,27,32950
2,3,81,81,22335
3,0,0,0,29336488
3,0,0,1,24475596
3,0,0,3,23372345
