argmax_y,argmax_pred,coverage_greater_eq,spliced_coverage_greater_eq,count
0,0,0,0,534686619
0,0,0,1,108577017
0,0,0,3,57296871
0,0,0,9,32128110
0,0,0,27,20362287
0,0,0,81,13351072
0,0,1,0,105018252
0,0,1,1,35737535
0,0,1,3,23669485
0,0,1,9,15890179
0,0,1,27,11574770
0,0,1,81,8042715
0,0,3,0,57565998
0,0,3,1,21343443
0,0,3,3,15013291
0,0,3,9,10642609
0,0,3,27,8081671
0,0,3,81,5849114
0,0,9,0,27727267
0,0,9,1,10061888
0,0,9,3,7137721
0,0,9,9,5102144
0,0,9,27,3898820
0,0,9,81,2887026
0,0,27,0,14657492
0,0,27,1,4632518
0,0,27,3,3108526
0,0,27,9,2144961
0,0,27,27,1588884
0,0,27,81,1138341
0,0,81,0,8707738
0,0,81,1,2393089
0,0,81,3,1444697
0,0,81,9,895003
0,0,81,27,625682
0,0,81,81,438498
0,1,0,0,9255437
0,1,0,1,2368858
0,1,0,3,1405075
0,1,0,9,870846
0,1,0,27,610560
0,1,0,81,421608
0,1,1,0,7573010
0,1,1,1,1916583
0,1,1,3,1120891
0,1,1,9,700656
0,1,1,27,508525
0,1,1,81,354330
0,1,3,0,6897539
0,1,3,1,1723737
0,1,3,3,987502
0,1,3,9,607622
0,1,3,27,440883
0,1,3,81,309314
0,1,9,0,6111558
0,1,9,1,1480284
0,1,9,3,816797
0,1,9,9,481750
0,1,9,27,341900
0,1,9,81,239185
0,1,27,0,5281736
0,1,27,1,1233034
0,1,27,3,645667
0,1,27,9,359493
0,1,27,27,243026
0,1,27,81,160551
0,1,81,0,4207887
0,1,81,1,975559
0,1,81,3,490782
0,1,81,9,253951
0,1,81,27,158142
0,1,81,81,98534
0,2,0,0,8005408
0,2,0,1,2457842
0,2,0,3,1564629
0,2,0,9,1052177
0,2,0,27,776666
0,2,0,81,519726
0,2,1,0,5068776
0,2,1,1,1591058
0,2,1,3,1072774
0,2,1,9,754808
0,2,1,27,573368
0,2,1,81,387891
0,2,3,0,3940145
0,2,3,1,1207528
0,2,3,3,830574
0,2,3,9,583748
0,2,3,27,453574
0,2,3,81,311778
0,2,9,0,2957477
0,2,9,1,847834
0,2,9,3,571571
0,2,9,9,390341
0,2,9,27,299247
0,2,9,81,209244
0,2,27,0,2238848
0,2,27,1,603842
0,2,27,3,385519
0,2,27,9,244918
0,2,27,27,177448
0,2,27,81,122540
0,2,81,0,1489871
0,2,81,1,402822
0,2,81,3,258281
0,2,81,9,158441
0,2,81,27,110533
0,2,81,81,75719
0,3,0,0,65911174
0,3,0,1,36655106
0,3,0,3,31391194
0,3,0,9,26840328
0,3,0,27,22321672
0,3,0,81,16007825
0,3,1,0,32747735
0,3,1,1,21889308
0,3,1,3,19714950
0,3,1,9,17854842
0,3,1,27,15884498
0,3,1,81,12015294
0,3,3,0,21392682
0,3,3,1,14294507
0,3,3,3,12881665
0,3,3,9,11734901
