Samples,HQ,S,Samples,HQ,S,Samples,HQ,S,Samples,HQ,S
P. anubis,,,,,,,,,,,
SRS3122053,FALSE,FALSE,SRS3122094,TRUE,TRUE,SRS3270781,FALSE,FALSE,SRS3270847,FALSE,FALSE
SRS3122057,TRUE,TRUE,SRS3122111,FALSE,FALSE,SRS3270785,FALSE,FALSE,SRS3270853,FALSE,FALSE
SRS3122063,TRUE,TRUE,SRS3270734,FALSE,FALSE,SRS3270808,FALSE,FALSE,SRS3270858,FALSE,FALSE
SRS3122070,FALSE,FALSE,SRS3270735,FALSE,FALSE,SRS3270811,FALSE,FALSE,SRS3270862,FALSE,FALSE
SRS3122074,FALSE,FALSE,SRS3270737,FALSE,FALSE,SRS3270812,FALSE,FALSE,SRS3270863,FALSE,FALSE
SRS3122079,TRUE,TRUE,SRS3270738,FALSE,FALSE,SRS3270821,FALSE,FALSE,SRS3270870,FALSE,FALSE
SRS3122081,FALSE,FALSE,SRS3270746,FALSE,FALSE,SRS3270824,FALSE,FALSE,SRS3270872,FALSE,FALSE
SRS3122088,FALSE,FALSE,SRS3270751,FALSE,FALSE,SRS3270839,FALSE,FALSE,SRS3270880,FALSE,FALSE
SRS3122092,TRUE,TRUE,SRS3270763,FALSE,FALSE,SRS3270840,FALSE,FALSE,SRS819311,TRUE,TRUE
SRS3122093,FALSE,FALSE,SRS3270773,FALSE,FALSE,SRS3270841,FALSE,FALSE,SRS819317,TRUE,TRUE
E. caballus,,,,,,,,,,,
ERS1517592,FALSE,FALSE,ERS2382444,FALSE,FALSE,ERS2681771,FALSE,FALSE,SRS2552997,TRUE,TRUE
ERS1517600,FALSE,FALSE,ERS2681720,TRUE,TRUE,ERS2681772,TRUE,TRUE,SRS2553004,TRUE,TRUE
ERS1517608,FALSE,FALSE,ERS2681730,FALSE,FALSE,ERS2681775,FALSE,FALSE,SRS2770963,FALSE,FALSE
ERS1517617,FALSE,FALSE,ERS2681733,FALSE,FALSE,ERS3563898,FALSE,FALSE,SRS2770972,FALSE,FALSE
ERS1517625,FALSE,FALSE,ERS2681734,FALSE,FALSE,SRS1102326,FALSE,FALSE,SRS3347177,FALSE,FALSE
ERS1517633,FALSE,FALSE,ERS2681740,FALSE,FALSE,SRS1102328,FALSE,FALSE,SRS3347182,FALSE,FALSE
ERS1517641,FALSE,FALSE,ERS2681742,FALSE,FALSE,SRS1102336,FALSE,FALSE,SRS4826859,FALSE,FALSE
