best_model_length4.h5,Dsalina,0.0299,0.0309
best_model_length1.h5,Sbicolor,0.7513,0.8515
best_model_length1.h5,Kfedtschenkoi,0.8112,0.8806
best_model_length4.h5,Czofingiensis,0.4826,0.4826
best_model_length0.h5,Pumbilicalis,0.6803,0.7064
best_model_length5.h5,Tcacao,0.5108,0.5179
best_model_length2.h5,Smoellendorffii,0.5539,0.5579
best_model_length0.h5,Fvesca,0.7385,0.7754
best_model_length5.h5,Ptrichocarpa,0.8655,0.9040
best_model_length5.h5,Spolyrhiza,0.7188,0.7188
best_model_length0.h5,Bdistachyon,0.7289,0.7847
best_model_length5.h5,Dcarota,0.8958,0.8958
best_model_length2.h5,Olucimarinus,0.0804,0.0821
best_model_length3.h5,CsubellipsoideaC169,0.5480,0.5616
best_model_length0.h5,Oeuropaea,0.6831,0.6831
best_model_length4.h5,Ptrichocarpa,0.8434,0.8864
best_model_length5.h5,Mguttatus,0.8906,0.9208
best_model_length4.h5,Sitalica,0.8328,0.8697
best_model_length4.h5,Cgrandiflora,0.8933,0.9098
best_model_length5.h5,Boleraceacapitata,0.8702,0.8702
best_model_length2.h5,Hvulgare,,
best_model_length0.h5,Ahypochondriacus,0.7627,0.7897
best_model_length1.h5,Osativa,0.7764,0.8239
best_model_length4.h5,Esalsugineum,0.8839,0.8989
best_model_length2.h5,Acomosus,0.6304,0.6296
best_model_length3.h5,MspRCC299,0.5882,0.6085
best_model_length4.h5,Mguttatus,0.8659,0.8946
best_model_length3.h5,Dcarota,0.9468,0.9468
best_model_length2.h5,Pumbilicalis,0.0632,0.0696
best_model_length1.h5,Cpapaya,0.8688,0.8688
best_model_length0.h5,CsubellipsoideaC169,0.9264,0.9437
best_model_length5.h5,Cquinoa,0.8029,0.8101
best_model_length5.h5,Czofingiensis,0.6278,0.6278
best_model_length0.h5,Ptrichocarpa,0.8110,0.8670
best_model_length1.h5,Pumbilicalis,0.2226,0.2558
best_model_length2.h5,Csinensis,0.8801,0.9041
best_model_length4.h5,Zmays,0.7647,0.7819
best_model_length2.h5,Slycopersicum,0.7230,0.7729
best_model_length1.h5,Boleraceacapitata,0.8720,0.8720
best_model_length0.h5,Othomaeum,0.7215,0.7255
best_model_length4.h5,Lusitatissimum,0.8247,0.8247
best_model_length4.h5,Boleraceacapitata,0.8569,0.8569
best_model_length2.h5,Athaliana,0.9292,0.9470
best_model_length5.h5,Mdomestica,0.8459,0.8756
best_model_length5.h5,Stuberosum,0.7503,0.7503
best_model_length0.h5,Aofficinalis,0.4352,0.4352
best_model_length2.h5,Othomaeum,0.7547,0.7533
best_model_length4.h5,Mtruncatula,0.8106,0.8275
best_model_length2.h5,Creinhardtii,0.5378,0.6320
best_model_length1.h5,Ppersica,0.8512,0.9041
best_model_length2.h5,Stuberosum,0.7499,0.7499
best_model_length4.h5,MspRCC299,0.2849,0.2915
best_model_length3.h5,Sbicolor,0.7815,0.8473
best_model_length1.h5,Czofingiensis,0.8888,0.8888
best_model_length3.h5,Ppersica,0.8794,0.9375
best_model_length2.h5,CsubellipsoideaC169,0.8016,0.8248
best_model_length5.h5,Ahypochondriacus,0.8680,0.8917
best_model_length4.h5,Fvesca,0.7316,0.7578
best_model_length1.h5,Mtruncatula,0.7892,0.8025
best_model_length1.h5,Vvinifera,0.7719,0.7719
best_model_length2.h5,Ahypochondriacus,0.8013,0.8240
best_model_length0.h5,Vvinifera,0.5673,0.5673
best_model_length4.h5,Bdistachyon,0.7798,0.8286
best_model_length3.h5,Rcommunis,0.9159,0.9180
best_model_length0.h5,Cpapaya,0.7876,0.7876
best_model_length3.h5,Egrandis,0.8908,0.9192
best_model_length3.h5,Dsalina,0.0166,0.0168
best_model_length4.h5,Lsativa,0.7469,0.7569
best_model_length3.h5,Lusitatissimum,0.8764,0.8764
best_model_length1.h5,Csinensis,0.8683,0.8947
best_model_length1.h5,Aofficinalis,0.5505,0.5505
best_model_length0.h5,Stuberosum,0.7308,0.7308
best_model_length1.h5,MpusillaCCMP1545,0.7042,0.7283
best_model_length4.h5,Olucimarinus,0.2201,0.2248
best_model_length5.h5,Fvesca,0.7482,0.7885
best_model_length3.h5,Spolyrhiza,0.7959,0.7959
best_model_length0.h5,Crubella,0.9320,0.9525
best_model_length1.h5,Cclementina,0.8883,0.9114
best_model_length5.h5,Hvulgare,,
best_model_length2.h5,Spolyrhiza,0.7418,0.7418
best_model_length2.h5,Osativa,0.7579,0.7673
best_model_length0.h5,Creinhardtii,0.9440,0.9656
best_model_length5.h5,Graimondii,0.8626,0.8993
best_model_length5.h5,Aofficinalis,0.9130,0.9130
best_model_length3.h5,Zmays,0.7639,0.7840
best_model_length3.h5,Cclementina,0.9185,0.9408
best_model_length0.h5,Mdomestica,0.7763,0.8056
best_model_length4.h5,Ahypochondriacus,0.8330,0.8583
best_model_length3.h5,Smoellendorffii,0.5712,0.5784
best_model_length5.h5,Cpapaya,0.8783,0.8783
best_model_length4.h5,Cclementina,0.8882,0.9133
best_model_length4.h5,MpusillaCCMP1545,0.4699,0.4790
best_model_length0.h5,Cclementina,0.8804,0.9133
best_model_length2.h5,Vvinifera,0.8511,0.8511
best_model_length1.h5,Olucimarinus,0.3737,0.3845
best_model_length5.h5,Olucimarinus,0.0380,0.0388
best_model_length5.h5,CsubellipsoideaC169,0.6979,0.7175
best_model_length2.h5,Mpolymorpha,0.6144,0.7246
best_model_length3.h5,Mpolymorpha,0.5342,0.6607
best_model_length0.h5,Zmarina,0.6968,0.7106
best_model_length4.h5,Mpolymorpha,0.5012,0.6058
best_model_length1.h5,Athaliana,0.9236,0.9407
best_model_length3.h5,Oeuropaea,0.7544,0.7544
best_model_length2.h5,Ppersica,0.8604,0.9179
best_model_length3.h5,Carietinum,0.8530,0.8530
best_model_length1.h5,Slycopersicum,0.7006,0.7477
best_model_length4.h5,Cpapaya,0.8534,0.8534
best_model_length2.h5,MpusillaCCMP1545,0.3227,0.3309
best_model_length4.h5,Oeuropaea,0.7089,0.7089
best_model_length1.h5,MspRCC299,0.8108,0.8446
best_model_length0.h5,Lsativa,0.7310,0.7419
best_model_length0.h5,Zmays,0.5933,0.6038
best_model_length2.h5,Cquinoa,0.7572,0.7628
best_model_length1.h5,Mpolymorpha,0.7533,0.8310
best_model_length4.h5,Smoellendorffii,0.5504,0.5543
best_model_length1.h5,Mesculenta,0.8702,0.8917
best_model_length0.h5,Tcacao,0.4761,0.4901
best_model_length3.h5,Sitalica,0.8490,0.8927
best_model_length1.h5,Ahypochondriacus,0.7844,0.8047
best_model_length5.h5,Creinhardtii,0.1982,0.2285
best_model_length4.h5,Aofficinalis,0.5416,0.5416
best_model_length0.h5,Esalsugineum,0.9197,0.9339
best_model_length3.h5,Olucimarinus,0.8132,0.8373
best_model_length0.h5,Athaliana,0.9464,0.9619
best_model_length1.h5,CsubellipsoideaC169,0.8551,0.8733
best_model_length4.h5,Slycopersicum,0.7809,0.8411
best_model_length2.h5,Oeuropaea,0.6917,0.6917
best_model_length0.h5,Dcarota,0.8672,0.8672
best_model_length3.h5,Fvesca,0.7842,0.8293
best_model_length3.h5,Atrichopoda,0.8084,0.8084
best_model_length4.h5,Vvinifera,0.9551,0.9551
best_model_length4.h5,Tcacao,0.4898,0.4962
best_model_length0.h5,Csinensis,0.8604,0.8934
best_model_length1.h5,Rcommunis,0.8640,0.8657
best_model_length1.h5,Oeuropaea,0.7002,0.7002
best_model_length4.h5,Cquinoa,0.7685,0.7750
best_model_length4.h5,Mesculenta,0.8737,0.8965
best_model_length2.h5,Dcarota,0.8678,0.8678
best_model_length3.h5,Ahypochondriacus,0.8874,0.9069
best_model_length2.h5,Kfedtschenkoi,0.8297,0.8819
best_model_length0.h5,Dsalina,0.7729,0.8045
best_model_length3.h5,Acomosus,0.7764,0.7866
best_model_length4.h5,Egrandis,0.8304,0.8554
best_model_length3.h5,Slycopersicum,0.7613,0.8088
best_model_length2.h5,Egrandis,0.8707,0.8904
best_model_length1.h5,Bdistachyon,0.7668,0.8620
best_model_length3.h5,Mtruncatula,0.8549,0.8641
best_model_length1.h5,Ptrichocarpa,0.8285,0.8659
best_model_length3.h5,Bdistachyon,0.7862,0.8436
best_model_length5.h5,Cclementina,0.8975,0.9253
best_model_length1.h5,Esalsugineum,0.9023,0.9180
best_model_length3.h5,Osativa,0.8258,0.8483
best_model_length1.h5,Spolyrhiza,0.9496,0.9496
best_model_length1.h5,Lusitatissimum,0.8448,0.8448
best_model_length2.h5,Fvesca,0.7670,0.7913
best_model_length5.h5,Mesculenta,0.9046,0.9286
best_model_length3.h5,Cgrandiflora,0.9133,0.9526
best_model_length3.h5,Hannuus,0.6929,0.7263
best_model_length1.h5,Atrichopoda,0.7910,0.7910
best_model_length1.h5,Zmarina,0.8789,0.8993
best_model_length2.h5,Dsalina,0.9152,0.9288
best_model_length3.h5,Boleraceacapitata,0.9413,0.9413
best_model_length5.h5,Slycopersicum,0.7524,0.7974
best_model_length1.h5,Gmax,0.8287,0.8787
best_model_length5.h5,Gmax,0.8644,0.9112
best_model_length5.h5,Mtruncatula,0.7870,0.8006
best_model_length2.h5,Crubella,0.9205,0.9396
best_model_length0.h5,Egrandis,0.8132,0.8413
best_model_length5.h5,Csinensis,0.8693,0.9043
best_model_length4.h5,Sbicolor,0.7811,0.8389
best_model_length2.h5,Czofingiensis,0.6384,0.6384
best_model_length0.h5,Ppersica,0.8256,0.8962
best_model_length3.h5,Lsativa,0.7749,0.7849
best_model_length5.h5,MpusillaCCMP1545,0.4571,0.4658
best_model_length0.h5,Mguttatus,0.9006,0.9313
best_model_length4.h5,Gmax,0.8598,0.9204
best_model_length1.h5,Cgrandiflora,0.9168,0.9315
best_model_length4.h5,Graimondii,0.8429,0.8753
best_model_length3.h5,Czofingiensis,0.5040,0.5040
best_model_length5.h5,Crubella,0.8979,0.9231
best_model_length4.h5,Creinhardtii,0.1096,0.1265
best_model_length5.h5,Atrichopoda,0.8741,0.8741
best_model_length0.h5,Atrichopoda,0.4392,0.4392
best_model_length3.h5,Esalsugineum,0.9164,0.9529
best_model_length0.h5,Boleraceacapitata,0.8902,0.8902
best_model_length3.h5,Csinensis,0.8921,0.9209
best_model_length5.h5,Mpolymorpha,0.5122,0.6217
