best_model_random5.h5,Cquinoa,0.8476,0.8585
best_model_random5.h5,Stuberosum,0.7631,0.7631
best_model_random5.h5,Cclementina,0.9056,0.9322
best_model_random5.h5,Slycopersicum,0.7832,0.8310
best_model_random5.h5,MpusillaCCMP1545,0.8261,0.8516
best_model_random5.h5,Cpapaya,0.8566,0.8566
best_model_random5.h5,Zmays,0.7951,0.8212
best_model_random5.h5,Mesculenta,0.8957,0.9167
best_model_random5.h5,Esalsugineum,0.9138,0.9290
best_model_random5.h5,Mdomestica,0.8697,0.8975
best_model_random5.h5,Creinhardtii,0.4720,0.5856
best_model_random5.h5,Mtruncatula,0.8050,0.8230
best_model_random5.h5,Ahypochondriacus,0.8915,0.9141
best_model_random5.h5,Kfedtschenkoi,0.8265,0.8905
best_model_random5.h5,Carietinum,0.8323,0.8323
best_model_random5.h5,Sitalica,0.8541,0.9132
best_model_random5.h5,Fvesca,0.7536,0.7841
best_model_random5.h5,MspRCC299,0.5540,0.5769
best_model_random5.h5,CsubellipsoideaC169,0.8118,0.8566
best_model_random5.h5,Lusitatissimum,0.8472,0.8472
best_model_random5.h5,Boleraceacapitata,0.8789,0.8789
best_model_random5.h5,Hvulgare,0.6182,0.6475
best_model_random5.h5,Graimondii,0.8787,0.9119
best_model_random5.h5,Ptrichocarpa,0.8610,0.9028
best_model_random5.h5,Olucimarinus,0.6114,0.6292
best_model_random5.h5,Mguttatus,0.8998,0.9310
best_model_random5.h5,Acomosus,0.6544,0.6579
best_model_random5.h5,Osativa,0.8512,0.8790
best_model_random5.h5,Zmarina,0.7861,0.8021
best_model_random5.h5,Vvinifera,0.7872,0.7872
best_model_random5.h5,Lsativa,0.7273,0.7341
best_model_random5.h5,Crubella,0.9243,0.9457
best_model_random5.h5,Rcommunis,0.8925,0.8945
best_model_random5.h5,Sbicolor,0.7922,0.8672
best_model_random5.h5,Hannuus,0.6341,0.6595
best_model_random5.h5,Aofficinalis,0.5996,0.5996
best_model_random5.h5,Smoellendorffii,0.5261,0.5333
best_model_random5.h5,Czofingiensis,0.7028,0.7028
best_model_random5.h5,Mpolymorpha,0.5679,0.7062
best_model_random5.h5,Dcarota,0.9015,0.9015
best_model_random5.h5,Tcacao,0.4973,0.5042
best_model_random5.h5,Spolyrhiza,0.7646,0.7646
best_model_random5.h5,Atrichopoda,0.6744,0.6744
best_model_random5.h5,Pumbilicalis,0.3042,0.3437
best_model_random5.h5,Gmax,0.8592,0.9149
best_model_random5.h5,Othomaeum,0.8167,0.8241
best_model_random5.h5,Egrandis,0.8736,0.9002
best_model_random5.h5,Cgrandiflora,0.9259,0.9393
best_model_random5.h5,Csinensis,0.8930,0.9203
best_model_random5.h5,Dsalina,0.1606,0.1668
best_model_random5.h5,Ppersica,0.8561,0.9239
best_model_random5.h5,Oeuropaea,0.7176,0.7176
best_model_random5.h5,Bdistachyon,0.8002,0.8749
best_model_random5.h5,Athaliana,0.9388,0.9555
best_model_random3.h5,Fvesca,0.7621,0.7891
best_model_random4.h5,Stuberosum,0.7660,0.7660
best_model_random0.h5,Sbicolor,0.7247,0.7960
best_model_random1.h5,Sitalica,0.8253,0.8612
best_model_random4.h5,Athaliana,0.9353,0.9581
best_model_random4.h5,Vvinifera,0.8158,0.8158
best_model_random4.h5,Olucimarinus,0.6188,0.6336
best_model_random4.h5,Bdistachyon,0.7827,0.8451
best_model_random1.h5,Bdistachyon,0.7674,0.8153
best_model_random1.h5,Smoellendorffii,0.8024,0.8120
best_model_random0.h5,Graimondii,0.8095,0.8680
best_model_random2.h5,Lsativa,0.8525,0.8935
best_model_random1.h5,Mguttatus,0.8862,0.9183
best_model_random4.h5,Crubella,0.9315,0.9562
best_model_random0.h5,Osativa,0.7666,0.7976
best_model_random2.h5,Atrichopoda,0.9287,0.9287
best_model_random3.h5,Creinhardtii,0.5414,0.6207
best_model_random0.h5,Spolyrhiza,0.9242,0.9242
best_model_random2.h5,Mdomestica,0.8726,0.9240
best_model_random3.h5,Bdistachyon,0.7822,0.8399
best_model_random0.h5,Mdomestica,0.8050,0.8359
best_model_random4.h5,Mguttatus,0.9018,0.9357
best_model_random3.h5,Csinensis,0.8785,0.8998
best_model_random3.h5,Hannuus,0.6393,0.6678
best_model_random1.h5,Mesculenta,0.9011,0.9363
best_model_random2.h5,Ppersica,0.8558,0.9427
