best_model_Carietinum.h5,Spolyrhiza,0.6955,0.6955
best_model_MpusillaCCMP1545.h5,Creinhardtii,0.4159,0.5117
best_model_Slycopersicum.h5,Creinhardtii,0.3022,0.3750
best_model_Carietinum.h5,Aofficinalis,0.7451,0.7451
best_model_Acomosus.h5,Stuberosum,0.7545,0.7545
best_model_Kfedtschenkoi.h5,MspRCC299,0.3754,0.3897
best_model_Lusitatissimum.h5,Sbicolor,0.7570,0.9250
best_model_Crubella.h5,Mguttatus,0.8663,0.9044
best_model_Ptrichocarpa.h5,Spolyrhiza,0.5479,0.5479
best_model_Fvesca.h5,Zmays,0.4784,0.4981
best_model_MpusillaCCMP1545.h5,Cquinoa,0.1981,0.2079
best_model_Graimondii.h5,Graimondii,0.8476,0.8884
best_model_Pumbilicalis.h5,Tcacao,0.0003,0.0003
best_model_Mesculenta.h5,CsubellipsoideaC169,0.0014,0.0014
best_model_Stuberosum.h5,Olucimarinus,0.9118,0.9404
best_model_Athaliana.h5,Osativa,0.5558,0.5887
best_model_Stuberosum.h5,Fvesca,0.8120,0.9353
best_model_Spolyrhiza.h5,Aofficinalis,0.9135,0.9135
best_model_Esalsugineum.h5,Egrandis,0.6939,0.7202
best_model_Vvinifera.h5,MpusillaCCMP1545,0.6589,0.6837
best_model_Egrandis.h5,Mesculenta,0.7462,0.8011
best_model_Cgrandiflora.h5,Smoellendorffii,0.6757,0.6829
best_model_Esalsugineum.h5,Hannuus,0.5541,0.5737
best_model_Graimondii.h5,Olucimarinus,0.0031,0.0032
best_model_Rcommunis.h5,Egrandis,0.7289,0.7820
best_model_Ptrichocarpa.h5,Cquinoa,0.7539,0.7608
best_model_Mguttatus.h5,Smoellendorffii,0.3697,0.3738
best_model_Vvinifera.h5,Spolyrhiza,0.9195,0.9195
best_model_Pumbilicalis.h5,Dcarota,0.0003,0.0003
best_model_Mdomestica.h5,Crubella,0.8770,0.9123
best_model_Ppersica.h5,Smoellendorffii,0.0351,0.0357
best_model_Slycopersicum.h5,Mguttatus,0.8927,0.9225
best_model_Dsalina.h5,Oeuropaea,0.0104,0.0104
best_model_Acomosus.h5,Crubella,0.8632,0.9080
best_model_Mesculenta.h5,Cclementina,0.8980,0.9238
best_model_Cgrandiflora.h5,Cpapaya,0.7837,0.7837
best_model_Carietinum.h5,Hvulgare,0.5475,0.6176
best_model_Csinensis.h5,Boleraceacapitata,0.8669,0.8669
best_model_MpusillaCCMP1545.h5,MspRCC299,0.7861,0.8183
best_model_Dsalina.h5,Esalsugineum,0.0124,0.0105
best_model_Lusitatissimum.h5,Osativa,0.8251,0.9371
best_model_Ptrichocarpa.h5,Ptrichocarpa,0.8732,0.9117
best_model_Osativa.h5,Bdistachyon,0.7809,0.8559
best_model_Gmax.h5,Acomosus,0.6236,0.6221
best_model_Csinensis.h5,Pumbilicalis,0.0019,0.0022
best_model_Bdistachyon.h5,Dcarota,0.8773,0.8773
best_model_Cquinoa.h5,Ahypochondriacus,0.8673,0.9017
best_model_Cgrandiflora.h5,Sitalica,0.6803,0.7446
best_model_Egrandis.h5,Stuberosum,0.6096,0.6096
best_model_Boleraceacapitata.h5,Cpapaya,0.9470,0.9470
best_model_Cclementina.h5,Carietinum,0.7687,0.7687
best_model_MspRCC299.h5,MspRCC299,0.8036,0.8377
best_model_Creinhardtii.h5,Carietinum,0.0032,0.0032
best_model_Lusitatissimum.h5,CsubellipsoideaC169,0.7832,0.8309
best_model_Kfedtschenkoi.h5,Smoellendorffii,0.6511,0.6574
best_model_Smoellendorffii.h5,Dsalina,0.2183,0.2282
best_model_Spolyrhiza.h5,Esalsugineum,0.8426,0.9256
best_model_Lusitatissimum.h5,Mesculenta,0.8610,0.9629
best_model_Ahypochondriacus.h5,Oeuropaea,0.7206,0.7206
best_model_Esalsugineum.h5,Acomosus,0.5187,0.5196
best_model_Rcommunis.h5,Fvesca,0.7128,0.7735
best_model_Carietinum.h5,Egrandis,0.6877,0.7649
best_model_Gmax.h5,Csinensis,0.8626,0.8810
best_model_Vvinifera.h5,Esalsugineum,0.8806,0.9674
best_model_Sbicolor.h5,Sitalica,0.8575,0.8953
best_model_Smoellendorffii.h5,Acomosus,0.4251,0.4522
best_model_Crubella.h5,Atrichopoda,0.3465,0.3465
best_model_Ahypochondriacus.h5,Aofficinalis,0.5961,0.5961
best_model_Acomosus.h5,Athaliana,0.8531,0.9025
best_model_Egrandis.h5,Ppersica,0.7705,0.8754
best_model_CsubellipsoideaC169.h5,Vvinifera,0.2057,0.2057
best_model_Bdistachyon.h5,Aofficinalis,0.6023,0.6023
best_model_Esalsugineum.h5,Graimondii,0.8029,0.8400
best_model_Carietinum.h5,Othomaeum,0.7788,0.8238
best_model_Graimondii.h5,Stuberosum,0.6693,0.6693
best_model_Zmays.h5,Sitalica,0.8282,0.8832
best_model_Pumbilicalis.h5,Mesculenta,0.0003,0.0003
best_model_Graimondii.h5,Cpapaya,0.8056,0.8056
best_model_Cquinoa.h5,Cquinoa,0.8584,0.8724
best_model_Slycopersicum.h5,Esalsugineum,0.8917,0.9093
best_model_Slycopersicum.h5,Graimondii,0.8654,0.8995
best_model_Graimondii.h5,Ahypochondriacus,0.7101,0.7344
best_model_Lusitatissimum.h5,Mtruncatula,0.8465,0.9214
best_model_Mpolymorpha.h5,Oeuropaea,0.6085,0.6085
best_model_Sbicolor.h5,Atrichopoda,0.7272,0.7272
best_model_Cclementina.h5,Mesculenta,0.8053,0.8304
best_model_Lusitatissimum.h5,Esalsugineum,0.8787,0.9653
best_model_Pumbilicalis.h5,Mguttatus,0.0015,0.0017
best_model_Kfedtschenkoi.h5,Cclementina,0.8761,0.9027
best_model_Vvinifera.h5,Stuberosum,0.9347,0.9347
best_model_Carietinum.h5,Graimondii,0.7883,0.9160
best_model_Carietinum.h5,Kfedtschenkoi,0.6689,0.8192
best_model_Pumbilicalis.h5,Lusitatissimum,0.0032,0.0032
best_model_Osativa.h5,Zmarina,0.7627,0.7986
best_model_Mpolymorpha.h5,Cpapaya,0.7052,0.7052
best_model_Graimondii.h5,Osativa,0.6125,0.6423
best_model_Csinensis.h5,Cgrandiflora,0.8933,0.9137
best_model_Lusitatissimum.h5,Lusitatissimum,0.9572,0.9572
best_model_Zmarina.h5,Creinhardtii,0.0094,0.0116
best_model_Bdistachyon.h5,Mdomestica,0.7947,0.8282
best_model_Dsalina.h5,Stuberosum,0.0036,0.0036
best_model_Zmarina.h5,MspRCC299,0.0627,0.0648
best_model_Othomaeum.h5,Lsativa,0.6548,0.6894
best_model_Othomaeum.h5,Hvulgare,0.5989,0.6450
best_model_Gmax.h5,Creinhardtii,0.0088,0.0110
best_model_Sitalica.h5,Olucimarinus,0.0182,0.0185
best_model_Zmarina.h5,Spolyrhiza,0.5123,0.5123
best_model_Dcarota.h5,Rcommunis,0.8513,0.8663
best_model_Boleraceacapitata.h5,Crubella,0.8672,0.9742
best_model_Hvulgare.h5,Lsativa,0.4023,0.4247
best_model_Ahypochondriacus.h5,Mpolymorpha,0.4735,0.5750
best_model_Atrichopoda.h5,Athaliana,0.8314,0.9430
best_model_Csinensis.h5,Zmarina,0.7400,0.7593
best_model_Hvulgare.h5,Dsalina,0.0718,0.0719
best_model_Cpapaya.h5,Mguttatus,0.8416,0.9507
best_model_Zmarina.h5,Osativa,0.6138,0.6547
best_model_Graimondii.h5,Mesculenta,0.8408,0.8678
best_model_Czofingiensis.h5,Dcarota,0.7904,0.7904
best_model_Dcarota.h5,Stuberosum,0.7780,0.7780
best_model_Cclementina.h5,MpusillaCCMP1545,0.0093,0.0093
best_model_Aofficinalis.h5,Zmays,0.7171,0.7927
best_model_CsubellipsoideaC169.h5,Zmays,0.3976,0.4150
best_model_Boleraceacapitata.h5,Boleraceacapitata,0.9559,0.9559
best_model_Mguttatus.h5,Bdistachyon,0.6076,0.6766
best_model_Atrichopoda.h5,Spolyrhiza,0.8564,0.8564
best_model_Vvinifera.h5,Sitalica,0.7880,0.9376
best_model_Bdistachyon.h5,MspRCC299,0.0936,0.0943
best_model_Czofingiensis.h5,Smoellendorffii,0.7602,0.7761
best_model_Rcommunis.h5,Vvinifera,0.6981,0.6981
