unrestricted,genome name
0,Acoerulea
1,Acomosus
0,Ahalleri
1,Ahypochondriacus
0,Alinifolium
1,Alyrata
0,Aoccidentale
1,Aofficinalis
1,Athaliana
1,Atrichopoda
0,Bbraunii
1,Bdistachyon
0,Bhybridum
1,Boleraceacapitata
0,BrapaFPsc
0,Bstacei
1,Bstricta
0,Bsylvaticum
0,Camplexicaulis
1,Carietinum
0,Ccitriodora
1,Cclementina
1,Cgrandiflora
0,Chispanica
0,Cmaritima
1,Cpapaya
1,Cquinoa
1,Creinhardtii
1,Crubella
1,Csativus
1,Csinensis
1,CsubellipsoideaC169
0,Cviolacea
1,Czofingiensis
0,Dalata
1,Dcarota
1,Dsalina
0,Dsophioides
0,Dstrictus
1,Egrandis
1,Esalsugineum
0,Esyriacum
0,Evesicaria
1,Fvesca
0,Ghirsutum
1,Gmax
0,GmaxLee
1,Graimondii
0,Gsoja
1,Hannuus
1,Hvulgare
0,Iamara
0,Itinctoria
1,Kfedtschenkoi
0,Klaxiflora
0,Lannua
1,Lsativa
0,Lsativum
1,Lusitatissimum
1,Macuminata
1,Mdomestica
1,Mesculenta
1,Mguttatus
0,Mmaritima
0,Mperfoliatum
1,Mpolymorpha
1,MpusillaCCMP1545
0,Msinensis
1,MspRCC299
1,Mtruncatula
1,Oeuropaea
1,Olucimarinus
1,Osativa
1,Othomaeum
0,PdeltoidesWV94
0,Phallii
1,Ppatens
1,Ppersica
1,Ptrichocarpa
1,Pumbilicalis
0,Pvirgatum
0,Pvulgaris
1,Rcommunis
0,Rislandica
0,Salba
1,Sbicolor
0,Sfallax
1,Sitalica
1,Slycopersicum
1,Smoellendorffii
0,Spinnata
1,Spolyrhiza
0,Spurpurea
1,Stuberosum
0,Sviridis
1,Taestivum
0,Tarvense
1,Tcacao
0,Tintermedium
0,Tpratense
1,Vcarteri
0,Vunguiculata
1,Vvinifera
1,Zmarina
1,Zmays
