Acomosus,Ananas comosus
Ahypochondriacus,Amaranthus hypochondriacus
Aofficinalis,Asparagus officinalis
Athaliana,Arabidopsis thaliana
Atrichopoda,Amborella trichopoda
Bdistachyon,Brachypodium distachyon
Boleraceacapitata,Brassica oleracea
Carietinum,Cicer arietinum
Cclementina,Citrus clementina
Cgrandiflora,Capsella grandiflora
Cpapaya,Carica papaya
Cquinoa,Chenopodium quinoa
Creinhardtii,Chlamydomonas reinhardtii
Crubella,Capsella rubella
Csinensis,Citrus sinensis
CsubellipsoideaC169,Coccomyxa subellipsoidea C-169
Czofingiensis,Chromochloris zofingiensis
Dcarota,Daucus carota
Dsalina,Dunaliella salina
Egrandis,Eucalyptus grandis
Esalsugineum,Eutrema salsugineum
Fvesca,Fragaria vesca
Gmax,Glycine max
Graimondii,Gossypium raimondii
Hannuus,Helianthus annuus
Hvulgare,Hordeum vulgare
Kfedtschenkoi,Kalanchoe fedtschenkoi
Lsativa,Lactuca sativa
Lusitatissimum,Linum usitatissimum
Mdomestica,Malus domestica
Mesculenta,Manihot esculenta
Mguttatus,Mimulus guttatus
Mpolymorpha,Marchantia polymorpha
MpusillaCCMP1545,Micromonas pusilla
MspRCC299,Micromonas sp. RCC299
Mtruncatula,Medicago truncatula
Oeuropaea,Olea europaea
Olucimarinus,Ostreococcus lucimarinus
Osativa,Oryza sativa
Othomaeum,Oropetium thomaeum
Ppersica,Prunus persica
Ptrichocarpa,Populus trichocarpa
Pumbilicalis,Porphyra umbilicalis
Rcommunis,Ricinus communis
Sbicolor,Sorghum bicolor
Sitalica,Setaria italica
Slycopersicum,Solanum lycopersicum
Smoellendorffii,Selaginella moellendorffii
Spolyrhiza,Spirodela polyrhiza
Stuberosum,Solanum tuberosum
Tcacao,Theobroma cacao
Vvinifera,Vitis vinifera
Zmarina,Zostera marina
Zmays,Zea mays
Alyrata,Arabidopsis lyrata
Csativus,Cucumis sativus
Macuminata,Musa acuminata
Ppatens,Physcomitrella patens
Taestivum,Triticum aestivum
Vcarteri,Volvox carteri
