acanthochromis polyacanthus
ailuropoda melanoleuca
amphilophus citrinellus
amphiprion ocellaris
amphiprion percula
anabas testudineus
anas platyrhynchos platyrhynchos
anolis carolinensis
anser brachyrhynchus
aotus nancymaae
apteryx haastii
apteryx owenii
astatotilapia calliptera
astyanax mexicanus
betta splendens
bison bison bison
bos indicus
bos mutus
bos taurus
caenorhabditis elegans
calidris pygmaea
callithrix jacchus
callorhinchus milii
canis familiaris
canis lupus dingo
capra hircus
carlito syrichta
castor canadensis
cavia aperea
cavia porcellus
cebus capucinus
cercocebus atys
chelonoidis abingdonii
chinchilla lanigera
chlorocebus sabaeus
chrysemys picta bellii
ciona intestinalis
ciona savignyi
clupea harengus
colobus angolensis palliatus
cottoperca gobio
coturnix japonica
cricetulus griseus
crocodylus porosus
cynoglossus semilaevis
cyprinodon variegatus
dasypus novemcinctus
denticeps clupeoides
dipodomys ordii
dromaius novaehollandiae
drosophila melanogaster
echinops telfairi
electrophorus electricus
eptatretus burgeri
equus asinus asinus
equus caballus
erinaceus europaeus
erpetoichthys calabaricus
esox lucius
felis catus
ficedula albicollis
fukomys damarensis
fundulus heteroclitus
gallus gallus
gambusia affinis
gasterosteus aculeatus
gopherus agassizii
gorilla gorilla
gouania willdenowi
haplochromis burtoni
heterocephalus glaber
hippocampus comes
homo sapiens
hucho hucho
ictalurus punctatus
ictidomys tridecemlineatus
jaculus jaculus
kryptolebias marmoratus
labrus bergylta
larimichthys crocea
lates calcarifer
latimeria chalumnae
lepidothrix coronata
lepisosteus oculatus
lonchura striata domestica
loxodonta africana
macaca fascicularis
macaca nemestrina
manacus vitellinus
mandrillus leucophaeus
marmota marmota marmota
mastacembelus armatus
meleagris gallopavo
melopsittacus undulatus
meriones unguiculatus
mesocricetus auratus
microcebus murinus
microtus ochrogaster
mola mola
monopterus albus
mus caroli
mus musculus
mus pahari
mus spicilegus
mus spretus
mustela putorius furo
myotis lucifugus
neolamprologus brichardi
neovison vison
nomascus leucogenys
notamacropus eugenii
notechis scutatus
ochotona princeps
octodon degus
oreochromis niloticus
ornithorhynchus anatinus
oryctolagus cuniculus
oryzias latipes
otolemur garnettii
ovis aries
pan paniscus
panthera pardus
panthera tigris altaica
pan troglodytes
papio anubis
parambassis ranga
paramormyrops kingsleyae
parus major
pelodiscus sinensis
periophthalmus magnuspinnatus
peromyscus maniculatus bairdii
petromyzon marinus
phascolarctos cinereus
piliocolobus tephrosceles
poecilia formosa
poecilia latipinna
poecilia mexicana
poecilia reticulata
pogona vitticeps
pongo abelii
procavia capensis
prolemur simus
propithecus coquereli
pteropus vampyrus
pygocentrus nattereri
rhinopithecus bieti
rhinopithecus roxellana
saimiri boliviensis boliviensis
salvator merianae
sarcophilus harrisii
scleropages formosus
seriola dumerili
seriola lalandi dorsalis
sorex araneus
spermophilus dauricus
sphenodon punctatus
stegastes partitus
sus scrofa
taeniopygia guttata
takifugu rubripes
tetraodon nigroviridis
theropithecus gelada
tupaia belangeri
tursiops truncatus
urocitellus parryii
ursus americanus
ursus maritimus
vicugna pacos
vombatus ursinus
vulpes vulpes
xenopus tropicalis
xiphophorus couchianus
xiphophorus maculatus
apteryx rowi
calidris pugnax
choloepus hoffmanni
cyanistes caeruleus
danio rerio
gadus morhua
junco hyemalis
macaca mulatta
maylandia zebra
monodelphis domestica
nannospalax galili
nothoprocta perdicaria
numida meleagris
oryzias melastigma
pundamilia nyererei
rattus norvegicus
scophthalmus maximus
serinus canaria
zonotrichia albicollis
