Newick_label,set
Acanthochromis_polyacanthus,val
Ailuropoda_melanoleuca,val
Amphilophus_citrinellus,val
Amphiprion_ocellaris,val
Amphiprion_percula,val
Anabas_testudineus,train
Anas_platyrhynchos_platyrhynchos,val
Anolis_carolinensis,val
Anser_brachyrhynchus,val
Aotus_nancymaae,val
Apteryx_haastii,val
Apteryx_owenii,val
Apteryx_rowi,test
Astatotilapia_calliptera,val
Astyanax_mexicanus,val
Betta_splendens,val
Bison_bison_bison,val
Bos_indicus,val
Bos_mutus,val
Bos_taurus,val
Caenorhabditis_elegans,val
Calidris_pugnax,test
Calidris_pygmaea,val
Callithrix_jacchus,val
Callorhinchus_milii,val
Canis_lupus_familiaris,val
Canis_lupus_dingo,val
Capra_hircus,val
Carlito_syrichta,val
Castor_canadensis,val
Cavia_aperea,val
Cavia_porcellus,val
Cebus_capucinus,val
Cercocebus_atys,val
Chelonoidis_abingdonii,val
Chinchilla_lanigera,val
Chlorocebus_sabaeus,val
Choloepus_hoffmanni,test
Chrysemys_picta_bellii,val
Ciona_intestinalis,val
Ciona_savignyi,val
Clupea_harengus,val
Colobus_angolensis_palliatus,val
Cottoperca_gobio,val
Coturnix_japonica,val
Cricetulus_griseus,val
Crocodylus_porosus,val
Cyanistes_caeruleus,test
Cynoglossus_semilaevis,val
Cyprinodon_variegatus,val
Danio_rerio,test
Dasypus_novemcinctus,val
Denticeps_clupeoides,val
Dipodomys_ordii,val
Dromaius_novaehollandiae,val
Drosophila_melanogaster,train
Echinops_telfairi,val
Electrophorus_electricus,val
Eptatretus_burgeri,val
Equus_asinus_asinus,val
Equus_caballus,val
Erinaceus_europaeus,val
Erpetoichthys_calabaricus,val
Esox_lucius,val
Felis_catus,val
Ficedula_albicollis,val
Fukomys_damarensis,val
Fundulus_heteroclitus,val
Gadus_morhua,test
Gallus_gallus,train
Gambusia_affinis,val
Gasterosteus_aculeatus,val
Gopherus_agassizii,val
Gorilla_gorilla,val
Gouania_willdenowi,val
Haplochromis_burtoni,val
Heterocephalus_glaber,val
Hippocampus_comes,val
Homo_sapiens,val
Hucho_hucho,val
Ictalurus_punctatus,val
Ictidomys_tridecemlineatus,val
Jaculus_jaculus,val
Junco_hyemalis,test
Kryptolebias_marmoratus,val
Labrus_bergylta,val
Larimichthys_crocea,val
Lates_calcarifer,val
Latimeria_chalumnae,val
Lepidothrix_coronata,val
Lepisosteus_oculatus,val
Lonchura_striata_domestica,val
Loxodonta_africana,val
Macaca_fascicularis,val
Macaca_mulatta,test
Macaca_nemestrina,val
Manacus_vitellinus,val
Mandrillus_leucophaeus,val
Marmota_marmota_marmota,val
Mastacembelus_armatus,val
Maylandia_zebra,test
Meleagris_gallopavo,val
Melopsittacus_undulatus,val
Meriones_unguiculatus,val
Mesocricetus_auratus,val
Microcebus_murinus,val
Microtus_ochrogaster,val
Mola_mola,val
Monodelphis_domestica,test
Monopterus_albus,val
Mus_caroli,val
Mus_musculus,train
Mus_pahari,val
Mus_spicilegus,val
Mus_spretus,val
Mustela_putorius_furo,val
Myotis_lucifugus,val
Nannospalax_galili,test
Neolamprologus_brichardi,val
Neovison_vison,val
Nomascus_leucogenys,val
Notamacropus_eugenii,val
Notechis_scutatus,val
Nothoprocta_perdicaria,test
Numida_meleagris,test
Ochotona_princeps,val
Octodon_degus,val
Oreochromis_niloticus,val
Ornithorhynchus_anatinus,val
Oryctolagus_cuniculus,val
Oryzias_latipes,train
Oryzias_melastigma,test
Otolemur_garnettii,val
Ovis_aries,val
Pan_paniscus,val
Pan_troglodytes,val
Panthera_pardus,val
Panthera_tigris_altaica,val
Papio_anubis,val
Parambassis_ranga,val
Paramormyrops_kingsleyae,val
Parus_major,val
Pelodiscus_sinensis,val
Periophthalmus_magnuspinnatus,val
Peromyscus_maniculatus_bairdii,val
Petromyzon_marinus,val
Phascolarctos_cinereus,val
Piliocolobus_tephrosceles,val
Poecilia_formosa,val
Poecilia_latipinna,val
Poecilia_mexicana,val
Poecilia_reticulata,val
Pogona_vitticeps,val
Pongo_abelii,val
Procavia_capensis,val
Prolemur_simus,val
Propithecus_coquereli,val
Pteropus_vampyrus,val
Pundamilia_nyererei,test
Pygocentrus_nattereri,val
Rattus_norvegicus,test
Rhinopithecus_bieti,val
Rhinopithecus_roxellana,val
Saimiri_boliviensis_boliviensis,val
Salvator_merianae,val
Sarcophilus_harrisii,val
Scleropages_formosus,val
Scophthalmus_maximus,test
Serinus_canaria,test
Seriola_dumerili,val
Seriola_lalandi_dorsalis,val
Sorex_araneus,val
Spermophilus_dauricus,val
Sphenodon_punctatus,val
Stegastes_partitus,val
Sus_scrofa,val
Taeniopygia_guttata,val
Takifugu_rubripes,val
Tetraodon_nigroviridis,val
Theropithecus_gelada,train
Tupaia_belangeri,val
Tursiops_truncatus,val
Urocitellus_parryii,val
Ursus_americanus,val
Ursus_maritimus,val
Vicugna_pacos,val
Vombatus_ursinus,val
Vulpes_vulpes,val
Xenopus_tropicalis,val
Xiphophorus_couchianus,val
Xiphophorus_maculatus,val
Zonotrichia_albicollis,test
